place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
al Badawi,5,"Service, atmosphere, and food was amazing here. Stopped in on a Sunday afternoon and there was a lot of space and it wasn t too busy, which is surprising because the food was phenomenal. Our waiter was really patient with us helping us select our dishes given we wanted to learn about their traditional Palestinian dishes they specialize in. He helped us choose some of the restaurants favorite appetizers and main dishes. The pita bread was warm and freshly done, even smoky after pulling it apart. The muhammarah was my favorite appetizer and the malfouf was great too. The Mansaf was delicious - the rice had soaked the flavor of the lamb stewed in a yogurt broth. The lamb was so tender and delicious. Portions were a great size. Family style do you can share dishes amongst each other. I can t wait to come back and try more traditional dishes! Vegetarian options: Many appetizers dishes were vegetarian",2024,servic atmospher food amaz stop sunday afternoon lot space wasn busi surpris food phenomen waiter patient help select dish want learn tradit palestinian dish special help choos restaur favorit appet main dish pita bread warm freshli smoki pull muhammarah favorit appet malfouf great mansaf delici rice soak flavor lamb stew yogurt broth lamb tender delici portion great size famili style share dish wait back tradit dish vegetarian option appet dish vegetarian,1,1
al Badawi,5,Amazing authentic Palestinian food and culture! Integral part of cobble hill! Loved the greenery!!!,2024,amaz authent palestinian food cultur integr part cobbl hill love greeneri,1,1
al Badawi,5,,2024,,1,0
al Badawi,5,"Came for my birthday dinner last night. This was my third visit and it was lovely as always. Ordered the mansaf (lamb stewed in broth and yogurt over rice and flatbread) and it did not disappoint. We had two vegetarians in our party and they were more than satisfied with the falafel and the big spread of mezzes we ordered; we loved the zahir (cauliflower) in particular. I didnt get the shawarma this time, but its some of the best Ive ever had anywhere. Staff were super friendly and helpful, the floral displays in the restaurant add lots of charm, and of course Im glad to support a local Palestinian business during this time. If I lived closer by, Id be here every week! A real gem in this neighborhood.",2024,birthday dinner night visit love order mansaf lamb stew broth yogurt rice flatbread disappoint vegetarian parti satisfi falafel big spread mezz order love zahir cauliflow didnt shawarma time ive staff super friendli help floral display restaur add lot charm im glad support local palestinian busi time live closer id week real gem neighborhood,1,1
al Badawi,5,"Best middle eastern restaurant I have tried in nyc! Also, the prices are much better than most other similar places I have been to. They don t sell alcoholic drinks, but do allow BYOB",2024,middl eastern restaur nyc price similar place don sell alcohol drink byob,1,0
al Badawi,5,,2024,,1,0
al Badawi,5,,2024,,1,0
al Badawi,5,,2024,,1,0
al Badawi,5,"Loved everything here ! Atmosphere, food, drinks, dessert, all delicious and service was fantastic.. Cant wait to go back !",2024,love atmospher food drink dessert delici servic fantast wait back,1,1
al Badawi,5,"Came here in support of the Palestinian restaurants & food business. A very adorable, bright & true-to-tradition place. Couldnt decide what to eat so got a little help from the staff, and was encouraged to try Ouzi lamb from the main entree. Had chicken-filled slices as an appetizer, along with pita and olive oil dips - the dip with olive oil is so simple but such a rich & tasteful appetizer (reminded me of Bassams interview with Morgan) Had Arabic coffee, it was fresh and poured out of a pot, and the baklava was perfection. The serving size is generous & filling. You must bring a friend along I couldnt eat too much. The lamb is well-cooked & melts off the bone. Theres a lot I wanted to eat just couldnt but everything looked so delectable. Ill come again with company.",2024,support palestinian restaur food busi ador bright true tradit place couldnt decid eat staff encourag ouzi lamb main entre chicken fill slice appet pita oliv oil dip dip oliv oil simpl rich tast appet remind bassam interview morgan arab coffe fresh pour pot baklava perfect serv size gener fill bring friend couldnt eat lamb cook melt bone lot want eat couldnt look delect ill compani,1,1
al Badawi,5,The best service and Mediterranean food I ve had in NYC!,2024,servic mediterranean food ve nyc,1,0
al Badawi,1,,2024,,-1,0
al Badawi,4,"High ceilings. Lush looking plants planked on the walls. The dining tables were also very wide, which is great for the family style theme. The ambiance was lovely! The pita was fantastic, hummus could ve used a little something. Can t put my finger on exactly what it s was missing but it was something. The lamb was lacking the flavor that I know it has the potential to have. The two items that stole the show were the pistachio flatbread and the 6 layer chicken dish. Absolutely delish! Lastly, the service was great in the beginning but deteriorated as we progressed through our meal. At one point were felt like they were rushing us a bit, even though our plates were full and there seemed to be lots of empty seating around us.",2024,high ceil lush plant plank wall dine tabl wide great famili style theme ambianc love pita fantast hummu ve put finger miss lamb lack flavor potenti item stole show pistachio flatbread layer chicken dish absolut delish lastli servic great begin deterior progress meal point felt rush bit plate full lot empti seat,1,1
al Badawi,1,"No complaints about the food. Actually it was amazing. My family and I loved it. I just was in shock when I saw alcohol was served. I thought this was Palestinian/Arab/Muslim owned restaurant. I came here before with my sister and her family when they were visiting from out of state, and we all loved everything about this place. But when I went yesterday with my family the vibe was totally different.  I was a little disappointed",2024,complaint food amaz famili love shock alcohol serv thought palestinian arab muslim own restaur sister famili visit state love place yesterday famili vibe total disappoint,-1,1
al Badawi,5,"Tamem! Finally some authentic family-style Filastini food that hasnt been compromised in order to appeal to Western diners. We started with the mezze platter, kibbeh, and malfouf (stuffed cabbage rolls). Id come back for the malfouf alone, Im salivating just thinking about it. A true culinary wet dream! Kicking myself for not ordering the Kousa Mahshi (stuffed squash), which was one of my grandfathers fav dishes. We (a table of 5) then shared a few traditional mains, rather than opting for an XL family-sized dish or two: the Fattet Djaj / Fattat Jaj, Ouzi Lamb, and Fasoulia. The fattet was the star, but the other dishes were equally     delectable. The lamb and beef melt in your mouth. The chef came by to check on us several times, which was very sweet. One thing to note is that the restaurant is BYO, but theres a wine store down the block. My mom is hard of hearing, so the only drawback was that the dining room was a little noisy (it was a full house, for a good reason). The lighting could be a little dimmer, if Im going to nitpick, but it wasnt offensive. Regardless, I cant wait to go back!",2024,tamem final authent famili style filastini food hasnt compromis order appeal western diner start mezz platter kibbeh malfouf stuf cabbag roll id back malfouf im saliv think true culinari wet dream kick order kousa mahshi stuf squash grandfath fav dish tabl share tradit main opt xl famili size dish fattet djaj fattat jaj ouzi lamb fasoulia fattet star dish equal delect lamb beef melt mouth chef check time sweet thing note restaur byo wine store block mom hard hear drawback dine room noisi full hous good reason light dimmer im nitpick wasnt offens wait back,1,1
al Badawi,5,,2024,,1,0
al Badawi,5,"A convivial atmosphere of mostly larger groups, great service (the staff was incredibly friendly), and delicious food. Amazing!",2024,convivi atmospher larger group great servic staff incred friendli delici food amaz,1,1
al Badawi,5,"This was my first time here, the food was great and authentic. The restaurant has very pretty decor. It s a BYOB place, pretty hipster vibe but the food was great.",2024,time food great authent restaur pretti decor byob place pretti hipster vibe food great,1,1
al Badawi,5,Delicious food and inviting staff (plus the owner was so thoughtful to check in with us all).,2024,delici food invit staff owner thought check,1,0
al Badawi,4,"I came here with my coworkers and they all loved it. I grew up eating mansaf so I was a bit disappointed by the way this was prepped (it even tasted a bit sweet, almost like they added rose water to it). The food was good though, just don t expect an extremely authentic Jordanian mansaf. The lamb was delicious though, did not taste very gamey",2024,cowork love grew eat mansaf bit disappoint prep tast bit sweet ad rose water food good don expect extrem authent jordanian mansaf lamb delici tast gamey,1,1
al Badawi,5,,2024,,1,0
al Badawi,5,,2024,,1,0
al Badawi,5,"Incredibly delicious Palestinian food, highly recommend!",2024,incred delici palestinian food highli recommend,1,1
al Badawi,5,MAKE RESERVATIONS! We went on a Saturday night for dinner and got lucky that they had 2 seats available at the bar otherwise the wait for a table was an hour. Great food and great service.,2024,make reserv saturday night dinner lucki seat bar wait tabl hour great food great servic,1,1
al Badawi,5,"Absolutely everything about this place is amazing. I came here last night for a big birthday dinner and the staff did a wonderful job accommodating all 14 of us. People trickled in late and we took a long time to order, but they were SO patient and understanding with us. Our waiter recommended menu items for us and he and someone else (maybe the owner?) checked on us so many times to make sure we had everything we needed, joked with us and made sure we were having a good time. The atmosphere is great and it really feels like a family restaurant that is special to the community in BK. The food is delicious and authentic - I especially recommend the Mezze Filistini, Lahma bil ajeen, fattat jaj, and ouzi lamb! Everything came out so quickly and the portion sizes were HUGE, even though we didnt order the family style -- everyone and I mean everyone got to leave with some extra food to take home. The BYOB option is also super nice & we were so surprised by how inexpensive the bill was at the end of the night. Also a tip: if you pay in cash, the total is priced less! Overall I cant recommend more! Vegetarian options: Limited options for vegetarians is the only note- mostly apps.",2024,absolut place amaz night big birthday dinner staff wonder job accommod peopl trickl late long time order patient understand waiter recommend menu item owner check time make need joke made good time atmospher great feel famili restaur special commun bk food delici authent recommend mezz filistini lahma bil ajeen fattat jaj ouzi lamb quickli portion size huge didnt order famili style leav extra food home byob option super nice surpris inexpens bill end night tip pay cash total price recommend vegetarian option limit option vegetarian note app,1,1
al Badawi,5,"Had mansaf today, It tastes exactly like what my mom makes for us , so delicious, the service was amazing, the place is so beautiful,definitely coming back!!! Food",2024,mansaf today tast mom make delici servic amaz place beauti come back food,1,0
al Badawi,3,,2024,,0,0
al Badawi,5,"Al Badawi, oh what a gem in Brooklyn. Last night, just thinking about it makes me hungry all over again. My wife and I, we couldnt resist trying their grape leaves   a delightful start, and the chicken kebab, lets just say, it was nothing short of superb. The whole experience was topped off by their unique BYOB policy, kinda makes you feel special, you know. Cant wait to go back, especially since the portions are so generous, one dish is enough for two.",2024,al badawi gem brooklyn night think make hungri wife couldnt resist grape leav delight start chicken kebab let short superb experi top uniqu byob polici kinda make feel special wait back portion gener dish,1,1
al Badawi,5,,2024,,1,0
al Badawi,5,"I order from here all of the time and it s always a great experience. Whenever I dine in I also get great, friendly service. I highly recommend!",2024,order time great experi dine great friendli servic highli recommend,1,1
al Badawi,5,,2024,,1,0
al Badawi,5,,2024,,1,0
al Badawi,5,"Very good food, nice people",2024,good food nice peopl,1,1
al Badawi,5,Such great vibes and delicious food. We ordered from the Traditional menu and loved it!!! It was enough for two to share and we walked out very happy.,2024,great vibe delici food order tradit menu love share walk happi,1,1
al Badawi,5,"Amazing food with friendly staff and a cute atmosphere. Delicious Palestinian food - I had the fattat jaj, a tasty dish big enough to share (and best eaten fresh). The chicken was cooked perfectly and the spices and ratio of all the parts was perfect. Crunchy, tangy, juicy, filling. They served bread, olives, olive oil, and zaatar before our food arrived, so come hungry. Everyone who helped us was very friendly. Well definitely be back.",2024,amaz food friendli staff cute atmospher delici palestinian food fattat jaj tasti dish big share eaten fresh chicken cook perfectli spice ratio part perfect crunchi tangi juici fill serv bread oliv oliv oil zaatar food arriv hungri help friendli back,1,1
al Badawi,5,"I ve been here a few times. The Shawarma sandwich is amazing and gigantic! The pistachio flatbread is as amazing as all the other reviews. Also, the Rice dishes are very good.",2024,ve time shawarma sandwich amaz gigant pistachio flatbread amaz review rice dish good,1,1
al Badawi,5,"Really enjoyed the food, which tasted very fresh and delicious. Even the bread was softer and fresher than bread I ve had at other Middle Eastern restaurants. The Chicken Shawarma platter was excellent. I would highly recommend this restaurant!",2024,enjoy food tast fresh delici bread softer fresher bread ve middl eastern restaur chicken shawarma platter excel highli recommend restaur,1,1
al Badawi,2,"Omg plz don t go here if you re expecting real ethnic food and vibes. This is 100% gentrified Palestinian food. The food has 0 zero seasoning and I promise the most seasoned thing was the salad that came with my meal and it wasn t even a Palestinian salad. Just romaine lettuce and Italian dressing. My friends plate was cold and we were not treated well by the staff. My friend booked a month ago for her birthday dinner and when we came they didn t have her reservation on file. We were a group of 6, and they put down a bread basket with only 2 piece of bread inside. We were shocked. Then, we asked for more bread and they were visibly annoyed by us asking for decent service. They also placed one chair in the walkway then blamed one of us for blocking the path even though that s where the seat was placed? Then, a waiter asked one of US to push the tables out of the way! Back to the bread, we saw waiters give full plates of bread to other tables and that really hurt because seriously?? Two pieces of bread??!. Not to try and pull that card, but  We were the only black Muslims there. So idk. Also who in that restaurant is actually Palestinian or Arab? No one except for the hostess was Arab or Middle eastern. , so idk about the authenticity especially given the lack of flavor in the food. my simple mixed grill meal should not be so bland! Especially not for $40. The Hummus was good tho! anyway, I will not be coming here again. So many more affordable delicious authentic arab cuisine in the city and this is not one of those places.",2024,omg plz don expect real ethnic food vibe gentrifi palestinian food food season promis season thing salad meal wasn palestinian salad romain lettuc italian dress friend plate cold treat staff friend book month ago birthday dinner didn reserv file group put bread basket piec bread insid shock ask bread visibl annoy decent servic chair walkway blame block path seat waiter ask push tabl back bread waiter give full plate bread tabl hurt piec bread pull card black muslim idk restaur palestinian arab hostess arab middl eastern idk authent lack flavor food simpl mix grill meal bland hummu good tho come afford delici authent arab cuisin citi place,-1,1
