place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Atoboy,5,An incredible dining experience- the staff was super attentive,2024,incred dine experi staff super attent,1,0.5994
Atoboy,5,Amazing. The Squash and Octopus along with Granita was hands down,2024,amaz squash octopu granita hand,1,0.4939
Atoboy,5,,2024,,1,0.0
Atoboy,3,Food was a 4/5. So good but not really impressive. Atmosphere was loud. Portions small. Charged group of 4 $28 for sparkling water.....ouch,2024,food good impress atmospher loud portion small charg group sparkl water ouch,0,0.7003
Atoboy,5,Such a great place! Highly recommend it,2024,great place highli recommend,1,0.765
Atoboy,5,"Midtown casual gem for inventive Korean food. Dont miss the yellowtail, pear salad and lychee yogourt granita. Food",2024,midtown casual gem invent korean food dont miss yellowtail pear salad lyche yogourt granita food,1,0.3058
Atoboy,5,,2024,,1,0.0
Atoboy,5,"Food, service and ambiance were perfect. Highly recommend this restaurant for modern Korean cuisine.",2024,food servic ambianc perfect highli recommend restaur modern korean cuisin,1,0.7351
Atoboy,4,"The dining experience as a whole was satisfactory; certain dishes stood out while others fell short of expectations. The entrees, particularly the fried chicken, failed to leave a lasting impression, especially when contrasted with the myriad of exceptional Korean fried chicken offerings available in NYC. The cod was one-note with an overpowering gochugang curry sauce. There were notable highlights such as the sea urchin steamed egg, the squash, and the refreshing sujeonggwa granita, though the occasional overpowering presence of cinnamon in the granita detracted slightly from the overall enjoyment. I would recommend a visit to sample select items, but skip the fried chicken and cod.",2024,dine experi satisfactori dish stood fell short expect entre fri chicken fail leav last impress contrast myriad except korean fri chicken offer nyc cod note overpow gochugang curri sauc notabl highlight sea urchin steam egg squash refresh sujeonggwa granita occasion overpow presenc cinnamon granita detract slightli enjoy recommend visit sampl select item skip fri chicken cod,1,0.7579
Atoboy,5,Excellent food and service by Jude!,2024,excel food servic jude,1,0.4588
Atoboy,3,"We were really looking forward to eating here, and had heard great things. However, we felt that the tasting menu provided an average dining experience - the courses felt a little rushed, and while a number of plates felt ambitious in substance, the result didn t quite work. For the price, we expected more.",2024,forward eat heard great thing felt tast menu provid averag dine experi cours felt rush number plate felt ambiti substanc result didn work price expect,0,0.6597
Atoboy,3,"My friend and I decided on Atoboy as the main food-event for our NYC trip. We were very much looking forward to this place we had heard great things about, luckily the food did not dissapoint. Unfortunately the dining experience was overshadowed by the rushed feeling of the evening. None of the courses had a minute between them. The mains were served almost immediately after the add-on fried chicken course (+28$), promised between the 2nd and 3rd course; by the time we had finished it, our mains had already gotten cold. The wine service was great and sommelier knowledgeable but same as the food, we could not finish a glass before getting a refill. While finishing our wine, our conversation was disrupted by the waitress smacking the bill (that we hadn t yet asked for) on our table wishing us a  good night  without any inquiry on how our night had gone. While less expensive than it s older sibling Atomix, a ~300$ would still warrant a relaxing dining experience, which the 1,5hr reservation simply does not provide.",2024,friend decid atoboy main food event nyc trip forward place heard great thing luckili food dissapoint dine experi overshadow rush feel even cours minut main serv immedi add fri chicken promis time finish main cold wine servic great sommeli knowledg food finish glass refil finish wine convers disrupt waitress smack bill hadn ask tabl wish good night inquiri night expens older sibl atomix warrant relax dine experi hr reserv simpli provid,0,0.9633
Atoboy,5,First time having fancy Korean food.,2024,time fanci korean food,1,0.0
Atoboy,1,This is not where real Koreans go to eat korean food,2024,real korean eat korean food,-1,0.0
Atoboy,5,Finally got to try this restaurant! Such an innovative menu with great service! Everything was delicious. You can t go wrong with any choices!,2024,final restaur innov menu great servic delici wrong choic,1,0.25
Atoboy,5,amazing prefix menu tasting for a great price!  definitely recommend for a unique dining experience.,2024,amaz prefix menu tast great price recommend uniqu dine experi,1,0.765
Atoboy,5,,2024,,1,0.0
Atoboy,5,,2024,,1,0.0
Atoboy,4,"We went to Atoboy because hard to get the reservation of Atomix.  Food is match the price of $75 prix-fixe.  Only outstanding items are Stripe Bass & Korean Pear(forgot to take pictures).  Better to have 3 people in a group that you could try everything.  We must have Dessert due to someone birthday, but I wouldn t suggest after we try.  Atmosphere is more ideal for younger group.",2024,atoboy hard reserv atomix food match price prix fix outstand item stripe bass korean pear forgot pictur peopl group dessert due birthday wouldn suggest atmospher ideal younger group,1,0.4588
