place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Ayada,1,"I used to love coming here but the quality has gone down. Also, service is terrible, I waited more than 30 minutes (past the time DoorDash said my order was ready for pick up) & my order still wasn t ready!",2024,love come qualiti servic terribl wait minut past time doordash order readi pick order wasn readi,-1,0.6369
Ayada,5,"Came here for my girlfriends 30th, and we had a wonderful experience. The staff was super friendly and very patient, which was very appreciated because we were a party of 12. The food was delicious and very flavorful with a good amount of spice. When you order, you are able to choose the spice level from Mild all the way up to Thai Spicy (which I dont even dare to try, haha). Both the Thai Iced Tea and Lychee Thai Iced Tea were very good but a little too overly sweet for us, so we had to dilute it with a little bit of water. Wonderful little restaurant with great food and a wonderful atmosphere. Im definitely visiting again to try out the other dishes.",2024,girlfriend wonder experi staff super friendli patient appreci parti food delici flavor good amount spice order choos spice level mild thai spici dont dare haha thai ice tea lyche thai ice tea good overli sweet dilut bit water wonder restaur great food wonder atmospher im visit dish,1,0.9362
Ayada,5,,2024,,1,0.0
Ayada,5,We enjoyed the 2 dishes we ordered- pad kee mao /drunken noodles (enough wok hey and level of spice) and frog legs basil (fragrant!). Also had the Thai iced tea and it was good. Portions are fine (not American large sized) and prices are a little on the high side. Will come back and try other dishes.,2024,enjoy dish order pad kee mao drunken noodl wok hey level spice frog leg basil fragrant thai ice tea good portion fine american larg size price high side back dish,1,0.7845
Ayada,5,Great Thai spot in queens. Delicious and flavorful food. They know the meaning of spicy!,2024,great thai spot queen delici flavor food mean spici,1,0.6249
Ayada,2,"A group of friends has been going there for years. This is probably the last. The food quality has gone down tremendously. They brought the rice first and then our dishes came one by one. It took them 30 minutes to deliver the 5 main dishes one at the time. The place was at 30% capacity. The food was bland and greasy. A trip to the bathroom that night. (Details omitted) I asked if the mango juice was homemade and I was told yes by one waiter. When I asked for one without added sugar, the other waiter stuttered and confessed it comes from cans, like all their juices. Someone told has that their energy is now on the manhattan s place. Hence the owners are not be seen around as before. There are new Thai restaurants popping up around do the area still has many options.",2024,group friend year food qualiti tremend brought rice dish minut deliv main dish time place capac food bland greasi trip bathroom night detail omit ask mango juic homemad told waiter ask ad sugar waiter stutter confess can juic told energi manhattan place owner thai restaur pop area option,-1,0.296
Ayada,1,"I m going to start saying this restaurant is divided into two in one space, but they are the same  restaurant .    One of the rooms smells like sht  I felt it, when I stepped out to put quarters in the meter, in my way back, I got confused and open the wrong side of the rest door  I like the Decoration in one side. If you go there you would know what I m talking about. With that being said. I have to say that their customer service is horrible, horrendous . Or maybe it was because the staff were hungry too, they were rushing to take our order. They when to a table and stared eating. Well they re human too I understand, but if they all gonna eat together . It make more sense closing their doors for staff lunch time. Our waitress totally forgot my drink, and half of the food we order. She when back to her table to continue her lunch. We were so in shock  we couldn t believe that s was actually happening to us. The spring roll taste good. Everything else was way too greasy and tasteless. My first time there and for sure my last. Vegetarian options: Spring rolls. Vegetables fried rice.",2024,start restaur divid space restaur room smell sht felt step put quarter meter back confus open wrong side rest door decor side talk custom servic horribl horrend staff hungri rush order tabl stare eat human understand gonna eat make sens close door staff lunch time waitress total forgot drink half food order back tabl continu lunch shock couldn happen spring roll tast good greasi tasteless time vegetarian option spring roll veget fri rice,-1,-0.4215
Ayada,5,"Excellent authentic food. Amazing selection, accommodating, and friendly staff.",2024,excel authent food amaz select accommod friendli staff,1,0.4588
Ayada,4,,2024,,1,0.0
Ayada,5,"One of the best Thai restaurants in NYC. Food is delicious. Service is great, staff were very friendly and accommodating. The place is spotless and the decor is great. Highly recommend their drunken noodle and pad Thai. Their prices are reasonable. Must try this restaurant if you re a Thai food fanatic. Make sure to stop by while in Elmhurst.",2024,thai restaur nyc food delici servic great staff friendli accommod place spotless decor great highli recommend drunken noodl pad thai price reason restaur thai food fanat make stop elmhurst,1,0.8591
