place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Cho Dang Gol,5,"Service was excellent, food was delicious, and vibe was great ! We got the korean style boneless fried chicken (sweet chili sauce was fire), veg buckwheat pancake, and spicy chicken. Our server was so kind and attentive & we had a great experience; the sweet treat cookie at end was so cute :)",2024,servic excel food delici vibe great korean style boneless fri chicken sweet chili sauc fire veg buckwheat pancak spici chicken server kind attent great experi sweet treat cooki end cute,1,0.9747
Cho Dang Gol,5,"Delicious food with a good vegetarian options. Staff very knowledgeable about all the ingredients in all dishes Vegetarian options: Tofu stew, eggplant buckwheat pancake, hot stone vegetables and more",2024,delici food good vegetarian option staff knowledg ingredi dish vegetarian option tofu stew eggplant buckwheat pancak hot stone veget,1,0.4404
Cho Dang Gol,5,"Authentic Korean dishes, and everything is so good. The servers are very friendly. Chodangol makes me proud of being Korean. Highly recommended!",2024,authent korean dish good server friendli chodangol make proud korean highli recommend,1,0.8176
Cho Dang Gol,5,"Wow, more delicious than Korea... Really crazy taste!!! I will go again next time!",2024,wow delici korea crazi tast time,1,0.5859
Cho Dang Gol,5,"Korean restaurant located in Koreatown. This place filled up quickly and had long lines but we were lucky enough to get a table right when the restaurant opened at noon. I ordered the Spicy Kimchi Tofu Stew ($15.99) and my girlfriend ordered the Perilla Seed Tofu Stew ($17.99). Both stews were super flavorful and fulfilling. Portion sizes were nice and the banchan tasted great too (they give refills without you asking too). Service was amazing and they even gave us an additional small bowl of rice for free after watching us trying to scrape the remaining rice into our plates. Overall, I would rate this place a 9/10 - service, food, atmosphere were all amazing and the menu looked great.",2024,korean restaur locat koreatown place fill quickli long line lucki tabl restaur open noon order spici kimchi tofu stew girlfriend order perilla seed tofu stew stew super flavor fulfil portion size nice banchan tast great give refil servic amaz gave addit small bowl rice free watch scrape remain rice plate rate place servic food atmospher amaz menu look great,1,0.9595
Cho Dang Gol,4,,2024,,1,0.0
Cho Dang Gol,5,,2024,,1,0.0
Cho Dang Gol,4,I m still thinking about the cod roe omelet topped with green tea mayo and the spicy chicken because both of these were especially tasty! I feel like the omelet is an item you must order. The kimchi ground soybean curd stew and spicy pollock were also delicious and the rice was perfectly cooked. I recommend going for the lunch special so you can get a main dish with a stew for $19. The service was OK   I wouldn t say it was bad but I expected better. They gave me and my friend the wrong order but we were fine with it. Bathroom was clean. I can t wait to go back!,2024,think cod roe omelet top green tea mayo spici chicken tasti feel omelet item order kimchi ground soybean curd stew spici pollock delici rice perfectli cook recommend lunch special main dish stew servic wouldn bad expect gave friend wrong order fine bathroom clean wait back,1,0.7269
Cho Dang Gol,3,"This is a very popular restaurant. Went last night with a friend and waited for 3 mins for a table. Kinda overrated in my opinion.  Not sure why other reviews had given such high ratings. I ordered a seafood tufu stew myself and also seafood pancake to share. The octopus in the tufu stew was way overdone (like a rubber too hard to chew).  The seafood pancake was very good. Anyway, I really dont like the servers hurring us to leave by asking us twice if I had finished eating while I am still working half a way on my seafood tofu. Finally I let them take away my food finishing only two third.  Sure, it is a busy restaurant and there is often a long waiting list but when we walked out at about 7:30pm I noticed no more waiting customers because it was raining outside, then why bother hurrying us to finish the dinner! Not quite a pleasant experience at the end!",2024,popular restaur night friend wait min tabl kinda overr opinion review high rate order seafood tufu stew seafood pancak share octopu tufu stew overdon rubber hard chew seafood pancak good dont server hur leav finish eat work half seafood tofu final food finish busi restaur long wait list walk pm notic wait custom rain bother hurri finish dinner pleasant experi end,0,0.891
Cho Dang Gol,5,,2024,,1,0.0
