place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Datz Deli,5,,2024,,1,0.0
Datz Deli,1,"Honest reviewer here, visited not too long ago . I respect the hustle and the marketing strategy/ Publicity to promote the business. But 1. Its in a run down location 2. Extremely small space ,only one girl working there moving very slow , 3. Extremely long wait 4. Way too over price 5. Food is bland . I came all the way from Suffolk county because of the social media hype. Unfortunately my first and last visit . The long lines is not because food is tasty or extravagant ,is because theyre moving slow paced",2024,honest review visit long ago respect hustl market strategi public promot busi run locat extrem small space girl work move slow extrem long wait price food bland suffolk counti social media hype visit long line food tasti extravag theyr move slow pace,-1,0.7506
Datz Deli,5,,2024,,1,0.0
Datz Deli,2,"Over hyped. Definitely a NO for me. The flavor isnt there. Im glad I tried it, but definitely not a fan.",2024,hype flavor isnt im glad fan,-1,-0.5334
Datz Deli,4,I had the Ox Tail Pita. OMG....so good. My doctor will not like me eating this but it was worth the cheat lol,2024,ox tail pita omg good doctor eat worth cheat lol,1,0.0516
Datz Deli,5,I only had the Jerk Chicken patty and Mac and Cheese and I m only mad I bought one. That joint was OD FIRE!!!     . They just earned a loyal customer in me! Will definitely be back tomorrow!,2024,jerk chicken patti mac chees mad bought joint od fire earn loyal custom back tomorrow,1,-0.5994
Datz Deli,5,"Last night in NYC,  we pulled up in the pouring rain and it was so worth it. My Cuz got the Drake and I ate the Jerk chicken patty. Ordered the OxtailDatMacPatty to go.",2024,night nyc pull pour rain worth cuz drake ate jerk chicken patti order oxtaildatmacpatti,1,-0.128
Datz Deli,2,,2024,,-1,0.0
Datz Deli,5,,2024,,1,0.0
Datz Deli,5,Im rating in advance cause I know they going to good,2024,im rate advanc good,1,0.4404
Datz Deli,5,"I recently went to datz deli and got their famous oxtail, macaroni and cheese beef patty and let me tell you it did not disappoint. I can t wait to go back.!!!!",2024,recent datz deli famou oxtail macaroni chees beef patti disappoint wait back,1,-0.4019
Datz Deli,5,Customer Service was a 10 .. food was a 10 ! For the price they give you so much food .. thank you so much !,2024,custom servic food price give food,1,0.0
Datz Deli,5,Good food great hospitality,2024,good food great hospit,1,0.7906
Datz Deli,5,,2024,,1,0.0
Datz Deli,5,Patiently waiting,2024,patient wait,1,0.0
Datz Deli,3,"I wanted to so what s all the hype about. This is my first time going to Datz Deli first an foremost 40 minutes to get a chicken patty sandwich is a little too much. In my opinion they should have more than one person preparing customers order. Now onto to my order I purchased the chicken patty with jerk chicken and Mac&cheese on a butterflap, it wasn t all that of a hype the jerk chicken was salty . The bread was soft and fresh mac&cheese not to my liking. I will be going back to try something else, sometimes restaurants have bad days",2024,want hype time datz deli foremost minut chicken patti sandwich opinion person prepar custom order order purchas chicken patti jerk chicken mac chees butterflap wasn hype jerk chicken salti bread soft fresh mac chees like back restaur bad day,0,-0.4939
Datz Deli,5,My first time tasting Seen a video and I just had to check it out and it is very good Parking: Not much parking,2024,time tast video check good park park,1,0.4404
Datz Deli,5,"Love the atmosphere, customer service on point. Very sweet lady Food",2024,love atmospher custom servic point sweet ladi food,1,0.802
Datz Deli,5,Oxtail Mac pattty and bbq chicken Mac patty is out of this world goodness; the customer service is always 10/10.,2024,oxtail mac pattti bbq chicken mac patti world good custom servic,1,0.4404
Datz Deli,5,Beautiful ladies with great mannerisms and oxtail beef patty. Thats heaven to me. Best deep fried oreos Ive eaten.,2024,beauti ladi great manner oxtail beef patti heaven deep fri oreo ive eaten,1,0.8126
Datz Deli,5,AMAZING CUSTOMER SERVICE!!!! MAMA IS A GREAT SOUL Food,2024,amaz custom servic mama great soul food,1,0.6249
Datz Deli,5,Food was fresh In delicious,2024,food fresh delici,1,0.3182
Datz Deli,5,"Stepping into datz deli on Thursday was a delightful experience. The warm welcome, coupled with an inviting atmosphere, immediately set the tone for an enjoyable evening. The positive vibes resonated through the air, creating a sense of comfort and camaraderie. The carefully curated music added an extra layer of charm, enhancing the overall ambiance. What truly stood out were the genuine smiles that adorned the faces of the staff, creating a welcoming environment that made the visit memorable and uplifting. It was an evening filled with good vibes and positive energy, leaving me with a lasting impression and a desire to return for more.",2024,step datz deli thursday delight experi warm coupl invit atmospher immedi set tone enjoy even posit vibe reson air creat sens comfort camaraderi care curat music ad extra layer charm enhanc ambianc stood genuin smile adorn face staff creat welcom environ made visit memor uplift even fill good vibe posit energi leav last impress desir return,1,0.9766
Datz Deli,5,10/10 highly recommend! I went for the first time this week and I cant wait to go back to try different items!,2024,highli recommend time week wait back item,1,0.3612
Datz Deli,2,To expensive! You can buy a whole meal with the price they have for a mac patty with curry chicken $17!,2024,expens buy meal price mac patti curri chicken,-1,0.0
