place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Dhamaka,3,"We enjoyed most of the food and drink. The staff were nice. The only thing that had me scratching my head was when we ordered chapathi we got a tortilla. Texture, look and taste wise those are different things and not the same cuisine. It s a small thing but it stood out. I would say order the pav or the paratha instead.",2024,enjoy food drink staff nice thing scratch head order chapathi tortilla textur tast wise thing cuisin small thing stood order pav paratha,0,0.8442
Dhamaka,5,,2024,,1,0.0
Dhamaka,5,"This was my first time trying Indian Food Ever, so I was a little nervous and scared! I arrived, and I was greeted by the lovely manager Tina, she geared us to the bar while our table was ready, and recommended some great drinks, it was less than a 5 minute wait! When I say the eggplant and garlic appetizer was out of this world! The flavors were so unique, and just outright delicious. We then ordered the tiger prawns, which was a surprisingly large serving, topped off by the mint and cilantro cream, I was licking my fingers, after, the pot of lamb with basmati rice, felt like we were eating in someones home eatings moms cooking, topped off by delicious milk dessert, I couldnt have picked a better place to dine. The service was great, all my food arrived right after the other, the servers were so helpful describing every dish, and breaking it down for me. The manager Tina checked on our table, always made sure we were having excellent time.Just the ambiance of the entire restaurant, everyone enjoying the food/music, makes you remember why NYC is so great!",2024,time indian food nervou scare arriv greet love manag tina gear bar tabl readi recommend great drink minut wait eggplant garlic appet world flavor uniqu outright delici order tiger prawn surprisingli larg serv top mint cilantro cream lick finger pot lamb basmati rice felt eat someon home eat mom cook top delici milk dessert couldnt pick place dine servic great food arriv server help describ dish break manag tina check tabl made excel time ambianc entir restaur enjoy food music make rememb nyc great,1,0.9828
Dhamaka,5,,2024,,1,0.0
Dhamaka,5,dont understand why the google score is so low! this place is AMAZING the lamb biriyani and paneer curry were the best indian food ive ever had... expensive but the amount was A LOT three of us couldnt finish the biriyani so this place is worth the hype,2024,dont understand googl score low place amaz lamb biriyani paneer curri indian food ive expens amount lot couldnt finish biriyani place worth hype,1,-0.0516
Dhamaka,5,,2024,,1,0.0
Dhamaka,2,"Street style ambience, limited menu selection for vegetarian, food is of an average and unimpressive and spicy. Staff is friendly but pushy. Not recommended even one trip to this place",2024,street style ambienc limit menu select vegetarian food averag unimpress spici staff friendli pushi recommend trip place,-1,0.3612
Dhamaka,4,,2024,,1,0.0
Dhamaka,5,,2024,,1,0.0
Dhamaka,5,,2024,,1,0.0
Dhamaka,5,The best Indian food in New York,2024,indian food york,1,0.0
Dhamaka,5,,2024,,1,0.0
Dhamaka,1,Some of the worst Indian food out there. Totally over priced and not worth it at all. Completely over hyped. Why is everything double the price of what it should be? Mediocre service and you re treated like cattle for most part. Waitress didn t even care about us. Nothing redeeming about this place. AVOID. Take your money to an Indian restaurant that cares about its food and customers.,2024,worst indian food total price worth complet hype doubl price mediocr servic treat cattl part waitress didn care redeem place avoid money indian restaur care food custom,-1,0.5719
Dhamaka,5,Food,2024,food,1,0.0
Dhamaka,2,"Heard this place was good and I showed up to thy to grab a table - walk in. All reservations but open spots at the bar. The host said she could seat us but needed my phone number in order to do so. I did not feel comfortable giving out my personal information. I relayed this and asked why she needed it. She said just because she needs it. It was clear she didnt know and was just following protocol. However, a second employee piped in and said it was for covid contact tracing. That program ended in April 2022. If you are collecting personal information you need to state your intent in using it. I did not end up eating here. Very bummed and frustrated by the experience. Did not feel like a friendly restaurant experience but rather a website with pop up ads. I hate giving bad reviews on here but this was disappointing enough to warrant it.",2024,heard place good show thi grab tabl walk reserv open spot bar host seat need phone number order feel comfort give person inform relay ask need clear didnt protocol employe pipe covid contact trace program end april collect person inform state intent end eat bum frustrat experi feel friendli restaur experi websit pop ad hate give bad review disappoint warrant,-1,-0.3818
Dhamaka,5,"Loved the Paneer Tikka, it was the best i have ever had. The paneer was really soft , aromatic and flavorful and green chutney was great too. Vegetarian options: Paneer Tikka, Paneer Nawabi Korma with super soft Paratha",2024,love paneer tikka paneer soft aromat flavor green chutney great vegetarian option paneer tikka paneer nawabi korma super soft paratha,1,0.9217
Dhamaka,3,"I enjoy coming here though some dishes a bit too spicy without mentioning in menu but service pretty good.  If I have one grievance is THIS: I always like to eat at the bar at the corner seat next to wall but can the manager please please please NOT occupy it, PLEASE.  I m BEGGING you, PLEASE!!!",2024,enjoy come dish bit spici mention menu servic pretti good grievanc eat bar corner seat wall manag occupi beg,0,0.7269
Dhamaka,5,great place,2024,great place,1,0.6249
Dhamaka,4,"Really very good Indian restaurant, prices definitely above average, however if you like Indian food this is quality",2024,good indian restaur price averag indian food qualiti,1,0.4404
Dhamaka,5,"Dhamaka had been high on my list to try, and it did not disappoint! The chapli Kebab with the bone barrow butter was just perfect, and so were all the other things we ordered. I cannot wait to come back for the Biryani!",2024,dhamaka high list disappoint chapli kebab bone barrow butter perfect thing order wait back biryani,1,0.25
Dhamaka,3,"3.5/4      great service and good food. Definitely better Indian food in NY. Quantity is decent and shareable which is great. Would say the apps are shareable up to 3 people, could do 4 but might only get a small portion. The entrees as shareable up to 4. The Lasooni Palak app was by far the best of what we tried followed by the baingan bharta. The Gobi Angaara was ok and seemed like it wasn t cooked all the way through, seemed rushed and marinade was still raw. The Paneer Nawabi was good as well and worth a try - paneer is fresh. The paratha is a sizeable portion which was good to see. For desert I would say you can skip the pista cream it s just a pistachio custard. The kulfi was tasty but very small size for the price - not much of a value. The neembu pani is a worth a try but it could do with less chaat masala",2024,great servic good food indian food ny quantiti decent shareabl great app shareabl peopl small portion entre shareabl lasooni palak app baingan bharta gobi angaara wasn cook rush marinad raw paneer nawabi good worth paneer fresh paratha sizeabl portion good desert skip pista cream pistachio custard kulfi tasti small size price neembu pani worth chaat masala,0,0.9682
Dhamaka,5,"The chefs put an expert level of care into each dish. Every course was skillfully cooked & seasoned. Both the paneer tikka and gobhi angaara were packed with flavor, but the gobhi was a true standout. I ll be dreaming of the way they cooked that buttery, spicy cauliflower for the rest of my life. The lamb biryani was also well worth the hype. The lamb easily fell off the bone & its fatty flavors seeped into the rice, complimenting some of the more acidic elements of the dish. I would definitely return to Dhamaka! For more food reviews, follow my instagram @chloenicholle.",2024,chef put expert level care dish skill cook season paneer tikka gobhi angaara pack flavor gobhi true standout ll dream cook butteri spici cauliflow rest life lamb biryani worth hype lamb easili fell bone fatti flavor seep rice compliment acid element dish return dhamaka food review follow instagram chloenichol,1,0.9001
Dhamaka,5,"Really good food. The butter garlic crab was one of the best crab dishes Ive had, and the chicken curry was fantastic. Dessert was quite a small portion though",2024,good food butter garlic crab crab dish ive chicken curri fantast dessert small portion,1,0.4404
Dhamaka,1,How Indians are carrying mentality from their country .They are in Canada but the mentality and thinking about the people are same as they are . A delivery man cant get the location without confirming . Although some of their food missing but it doesnt mean all are same. Its very much rude to check confirmation before giving food to the delivery man. They are earning more than those staff in the restaurant and can buy food for them . They are using Car for delivery and those people think that delivery man will eat their food . Canadian restaurant never ever ask a delivery man to show the phone that it is confirmed.,2024,indian carri mental countri canada mental think peopl deliveri man locat confirm food miss doesnt rude check confirm give food deliveri man earn staff restaur buy food car deliveri peopl deliveri man eat food canadian restaur deliveri man show phone confirm,-1,0.2216
