place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Forsyth Fire Escape (6-Month Residency),3,"We ordered the scallion pancake pork burrito and the queso tacos. The burrito was VERY dry and the tacos were lacking flavor. Ultimately it wasnt apparent that you would *need* to buy the sauce which was $2/ea for a tiny container (about a quarter cups worth) and that both items would be severely lackihg without the sauce. Given the price, the size, and the dryness we were pretty underwhelmed for an item we had been led to believe would be delicious. They should give the sauces with the items by default",2024,order scallion pancak pork burrito queso taco burrito dri taco lack flavor ultim wasnt appar buy sauc ea tini contain quarter cup worth item sever lackihg sauc price size dryness pretti underwhelm item led delici give sauc item default,0,-0.1027
Forsyth Fire Escape (6-Month Residency),1,,2024,,-1,0.0
Forsyth Fire Escape (6-Month Residency),1,"What a let down. I was so excited to try this burrito as I ve been following them since they actually served from their fire escape. I got there 2 hours after opening and they were already out of the pernil, so I got the chicken as a consolation. They said it would be 10 minutes but it took 30. After waiting a half hour I received a small burrito filled with dry chicken and a minuscule amount of guacamole and cheese. Completely devoid of love and way overpriced for the amount of food. The classic phenomenon in NYC when a good thing gets super popular it loses its qualities that got it popular in the first place.",2024,excit burrito ve serv fire escap hour open pernil chicken consol minut wait half hour receiv small burrito fill dri chicken minuscul amount guacamol chees complet devoid love overpr amount food classic phenomenon nyc good thing super popular lose qualiti popular place,-1,0.91
Forsyth Fire Escape (6-Month Residency),5,,2024,,1,0.0
Forsyth Fire Escape (6-Month Residency),4,"Got the scallion burrito with pulled pork, it s pricey for the size. It is small but mighty, and was definitely filling. Similar to others, some more sauce probably needed, so definitely get a drink. OR there s water fountains near the bathroom.",2024,scallion burrito pull pork pricey size small mighti fill similar sauc need drink water fountain bathroom,1,0.0
Forsyth Fire Escape (6-Month Residency),5,"Really enjoyed the scallion pancake burrito! The pork was well-seasoned, the guacamole smooth, the queso frito crispy, and the lemongrass chili crisp oil added a very creative touch, bursting with flavors. The tostone was perfect for snacking - crispy on the outside, yet firm and chewy in the middle. The green sauce was refreshing, so good for cutting through the grease.",2024,enjoy scallion pancak burrito pork season guacamol smooth queso frito crispi lemongrass chili crisp oil ad creativ touch burst flavor toston perfect snack crispi firm chewi middl green sauc refresh good cut greas,1,0.8271
Forsyth Fire Escape (6-Month Residency),5,Love this spot! Food is fire.,2024,love spot food fire,1,0.4215
Forsyth Fire Escape (6-Month Residency),2,The burrito was a small size and overly salty.,2024,burrito small size overli salti,-1,0.0
Forsyth Fire Escape (6-Month Residency),4,"Good original scallion burrito. Service was on the slower side. However, excited to come back to try the other burritos Food : 4/5",2023,good origin scallion burrito servic slower side excit back burrito food,1,0.4404
Forsyth Fire Escape (6-Month Residency),5,"I met the owner, very kind, super enthusiastic about his business. The location is nice and after 3 PM there s a really nice bar so you can enjoy both of your meal and a pretty decent cocktail. I had the scallion burrito with some pernil It was delicious. I will say this is a dish Best eaten in the location and not for delivery. The chicken and cheese empanada was amazing . it was well seasoned very filling.",2023,met owner kind super enthusiast busi locat nice pm nice bar enjoy meal pretti decent cocktail scallion burrito pernil delici dish eaten locat deliveri chicken chees empanada amaz season fill,1,0.9559
Forsyth Fire Escape (6-Month Residency),2,"Perhaps my expectations were too high from the hefty price tag ($16!) and the Instagram fame, but my OG scallion pancake burrito was very underwhelming. The filling was decent, and I enjoyed the fish sauce addition. But the scallion pancake was not flaky or crispy, but doughy and stiff. Everything was far too oily. Would give 3 stars, but the price tag knocks it down to 2.",2023,expect high hefti price tag instagram fame og scallion pancak burrito underwhelm fill decent enjoy fish sauc addit scallion pancak flaki crispi doughi stiff oili give star price tag knock,-1,0.7269
Forsyth Fire Escape (6-Month Residency),5,Scallion burrito is worth the hype! Loved every bite of it.,2023,scallion burrito worth hype love bite,1,0.7269
Forsyth Fire Escape (6-Month Residency),2,"I wanted to try it for a while after they created a lot of hype around that famous scallion pancake burrito. Ohh, man, what a disappointment. 1: More like a taco than a burrito - so small 2: A very limited amount of fillings, a little bit of salty burned chopped meat, and a very greasy, unfamiliar other filling. They even charged me $2 for spicy sauce on the side. Ridiculous. 3: So slow. I cant blame the guy who worked there, as he had to handle the cooking and the preparing, and the cashier. I got my so-called burrito after 15-20 min. I guess there is a potential there, but it needs to be priced much lower for the size, and they need to step up with the ingredients. Good luck.",2023,want creat lot hype famou scallion pancak burrito ohh man disappoint taco burrito small limit amount fill bit salti burn chop meat greasi unfamiliar fill charg spici sauc side ridicul slow blame guy work handl cook prepar cashier call burrito min guess potenti price lower size step ingredi good luck,-1,-0.0258
