place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
GOLDEN WUISH (THE DUCKHOUSE),5,Such a great spot. $88 for flaming table side duck is such a great deal for the amount of food. Also get the tiramisu,2024,great spot flame tabl side duck great deal amount food tiramisu,1,0.8481
GOLDEN WUISH (THE DUCKHOUSE),5,Both the bar and the restaurant are highly recommended. The service is very attentive and friendly. The Peking duck is outstanding. Definitely try it. Cooked to perfection and really delicious.,2024,bar restaur highli recommend servic attent friendli peke duck outstand cook perfect delici,1,0.7351
GOLDEN WUISH (THE DUCKHOUSE),5,Fantastic work! finally we found closer 100% real of the Peking Duck! Everything we love it. Food : 5/5,2024,fantast work final found closer real peke duck love food,1,0.6369
GOLDEN WUISH (THE DUCKHOUSE),5,The food was fantastic!,2024,food fantast,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),1,A real shame. They lie about their happy hour. I asked them to take their false menu down and they didn t. So just ask before you sit down to avoid a bait and switch. Bartender was nice and the cocktail was amazing though!,2024,real shame lie happi hour ask fals menu didn sit avoid bait switch bartend nice cocktail amaz,-1,-0.3612
GOLDEN WUISH (THE DUCKHOUSE),5,"10/10Peking duck, a great place to hang w friends",2024,peke duck great place hang friend,1,0.8074
GOLDEN WUISH (THE DUCKHOUSE),5,,2024,,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),5,,2024,,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),5,Best beef satay and duck I ever had,2024,beef satay duck,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),5,"Had the most incredible dining experience at Golden Wuish The Duckhouse in NYC. We started our evening with some unique and delicious drink. The Duck a Lorange, a Bulleit Bourbon-infused Peking Duck Fat Washed creation, was a definite winner. It set the tone for the night. For appetizers, we tried the Satay Beef Skewers   grilled beef skewers with turmeric garlic and lemongrass, served with a peanut butter sauce. The flavors were outstanding, and it was a great precursor to the main event. The Flaming Peking Duck stole the show. Perfected through generations, the duck was seasoned with a special blend of spices, dried for 8 hours, and then roasted to a crispy, golden brown perfection. Each bite was a celebration of Chinese culinary heritage, and we couldnt get enough. Moving on, the Wagyu Beef Dan Dan Noodles brought a spicy and rich Sichuan classic to our table. The Hot Stone-Seared Wagyu added a touch of theatricality   sizzling A5 Wagyu presented right in front of us. Our waiter Anthony was amazing. To cap off our culinary journey, we indulged in the Yum Cha Set, a delightful assortment of dim sum featuring pork, shrimp, fish, vegetable, and mushroom. Each bite was a burst of flavors, showcasing the culinary expertise of Golden Wuish. Leaving the restaurant, we couldnt help but feel grateful for the unforgettable evening. Golden Wuish The Duckhouse is more than just a dining spot; its an experience. If youre in the Financial District, dont miss the chance to savor authentic Chinese cuisine at its finest.",2024,incred dine experi golden wuish duckhous nyc start even uniqu delici drink duck lorang bulleit bourbon infus peke duck fat wash creation definit winner set tone night appet satay beef skewer grill beef skewer turmer garlic lemongrass serv peanut butter sauc flavor outstand great precursor main event flame peke duck stole show perfect gener duck season special blend spice dri hour roast crispi golden brown perfect bite celebr chines culinari heritag couldnt move wagyu beef dan dan noodl brought spici rich sichuan classic tabl hot stone sear wagyu ad touch theatric sizzl wagyu present front waiter anthoni amaz cap culinari journey indulg yum cha set delight assort dim sum featur pork shrimp fish veget mushroom bite burst flavor showcas culinari expertis golden wuish leav restaur couldnt feel grate unforgett even golden wuish duckhous dine spot experi your financi district dont miss chanc savor authent chines cuisin finest,1,0.9818
GOLDEN WUISH (THE DUCKHOUSE),5,,2024,,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),5,I felt like I was relocated to a tropical resort coming in here! The atmosphere and music reminded me of an upscale resort. The food and service was also amazing. They really pay attention to their presentation and service here. My favourite dish we got was the curry udon noodles. The sauce was to die for and the texture of the noodles was amazing. Soup dumplings were also some of the best I ve had. This place is my new go to!!!!,2024,felt reloc tropic resort come atmospher music remind upscal resort food servic amaz pay attent present servic favourit dish curri udon noodl sauc die textur noodl amaz soup dumpl ve place,1,-0.6486
GOLDEN WUISH (THE DUCKHOUSE),4,,2024,,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),5,,2024,,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),5,"Came here on a whim but was literally blown away! Service and food are amazing- I was recommended the duck which was so good and the hospitality was unmatched! Shoutout to Asma and my server (didnt get his name) for their kindness and attentiveness. I hope to come back again, and 10/10 recommend!",2024,whim liter blown servic food amaz recommend duck good hospit unmatch shoutout asma server didnt kind attent hope back recommend,1,0.4055
GOLDEN WUISH (THE DUCKHOUSE),1,Waiters are nice but the plates were very very depressed. Stir-fried green beans can be made into stir-fried green beans with bean paste  Three cups of chicken can be made into boiled chicken.,2024,waiter nice plate depress stir fri green bean made stir fri green bean bean past cup chicken made boil chicken,-1,-0.1027
GOLDEN WUISH (THE DUCKHOUSE),5,"Me & my husband just opened up a beauty bar 2 blocks down from this place called BeYOUtology beauty bar & we have been ordering from here for the last 3 days there food and service is so amazing , one night I wasn t toooo happy with something I ordered but with no problem at all the manager replaced my entire meal ! Also the seafood soup in SLAMMMMMMMMINNNNNN !!! Everyone is so nice the place is so diverse ! I can t wait to dine inside !",2024,husband open beauti bar block place call beyoutolog beauti bar order day food servic amaz night wasn toooo happi order problem manag replac entir meal seafood soup slammmmmmmminnnnnn nice place divers wait dine insid,1,-0.4215
GOLDEN WUISH (THE DUCKHOUSE),5,Super tasty for soup and pepper steak,2024,super tasti soup pepper steak,1,0.5994
GOLDEN WUISH (THE DUCKHOUSE),3,"Food here is very oily in general, doesn t taste like authentic Chinese food but more like creative Asian fusion. Meat in the dumplings we ordered doesn t taste very fresh either.",2024,food oili gener doesn tast authent chines food creativ asian fusion meat dumpl order doesn tast fresh,0,0.3182
GOLDEN WUISH (THE DUCKHOUSE),5,"Went for an engagement dinner and it was a phenomenal experience. The service was wonderful and attentive, and the food was amazing! Cannot recommend this place enough, and if you have a chance, make sure to request a Peking Duck when making your reservation, you won t regret it!",2024,engag dinner phenomen experi servic wonder attent food amaz recommend place chanc make request peke duck make reserv won regret,1,0.5267
GOLDEN WUISH (THE DUCKHOUSE),5,Outstanding drinks and food friendly staff and club like environment at night,2024,outstand drink food friendli staff club environ night,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),2,Duck lacked flavor and spending almost $200 i was very disappointed. The best thing was the soap.,2024,duck lack flavor spend disappoint thing soap,-1,-0.6124
GOLDEN WUISH (THE DUCKHOUSE),4,,2024,,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),4,Bro. One of the best duck Ive had. Maybe the best. So soft! My only little criticism is the lighting is very dim. Hard to see my food   but nevertheless definitely another recommendation.,2024,bro duck ive soft critic light dim hard food recommend,1,0.0
GOLDEN WUISH (THE DUCKHOUSE),1,"If it doesn t taste good, don t come",2024,doesn tast good don,-1,0.4404
