place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Kam Hing Coffee Shop,5,,2024,,1,0.0
Kam Hing Coffee Shop,5,,2024,,1,0.0
Kam Hing Coffee Shop,5,Classic sponge cake so fresh and only one dollar!!,2024,classic spong cake fresh dollar,1,0.3182
Kam Hing Coffee Shop,5,100% recommend. GREAT quality for the price. $1 doesn t get better than this in NYC,2024,recommend great qualiti price doesn nyc,1,0.765
Kam Hing Coffee Shop,5,The cakes are so frikin good !!,2024,cake frikin good,1,0.4404
Kam Hing Coffee Shop,5,Its a no frills hole in a wall. But their sponge cakes are simple and delicious. Family run business that is priced for Chinatown community that is historically poor. I love these guys.,2024,frill hole wall spong cake simpl delici famili run busi price chinatown commun histor poor love guy,1,0.2732
Kam Hing Coffee Shop,5,,2024,,1,0.0
Kam Hing Coffee Shop,5,"It looks plain, but tastes great! The store is about a 3-minute walk from Canal Street, and there is also an Eaton space inside the store. Most of the customers are Asian (probably Chinese). This time, I purchased plain flavor, black sesame flavor, and red bean flavor. The price is $1 for plain and $1.25 for others. All three types were delicious. Its fluffy like a chiffon cake, not too sweet but still sweet, and soft yet chewy. Its not a gorgeous dessert, but its an unforgettable dessert. Personally, if I were to buy donuts from another store, I would buy these. There are other flavors I havent tried yet, so Ill definitely be going back! My favorite shops have increased again.",2024,plain tast great store minut walk canal street eaton space insid store custom asian chines time purchas plain flavor black sesam flavor red bean flavor price plain type delici fluffi chiffon cake sweet sweet soft chewi gorgeou dessert unforgett dessert person buy donut store buy flavor havent ill back favorit shop increas,1,0.9087
Kam Hing Coffee Shop,5,Nice little place. Can tell the locals come in everyday. The lady at the counter was very nice and helpful in picking which iced coffee to get. She was also so nice to grab a hot sponge cake for us. I ended up getting the Thai iced coffee and a sponge cake. Very good and very fresh.,2024,nice place local everyday ladi counter nice help pick ice coffe nice grab hot spong cake end thai ice coffe spong cake good fresh,1,0.936
Kam Hing Coffee Shop,5,"TLDR: 3rd generation institution that is literally selling sponge cakes for $1!!! Remember the  got a buck, you re in luck  McDonalds commercials? Well in 2024 this still rings true at Kam Hung where you get original flavor sponge cakes for $1 and $1.25 for flavored ones like matcha and salted caramel. These are tasty and soft cakes for a steal of a price, especially if they come fresh out of the oven!! Forget inflation, there s sponge cakes for $1.00/$1.25!",2024,tldr gener institut liter sell spong cake rememb buck luck mcdonald commerci ring true kam hung origin flavor spong cake flavor matcha salt caramel tasti soft cake steal price fresh oven forget inflat spong cake,1,0.4588
Kam Hing Coffee Shop,5,One of NYCs true hidden gems. Original Spongecake is my fave. Hubby is very picky and when I brought some home... he ate em up quick lol. Love their sense of humor too,2024,nyc true hidden gem origin spongecak fave hubbi picki brought home ate em quick lol love sens humor,1,0.93
Kam Hing Coffee Shop,3,"Solid sponge cakes, the original sponge cake comes out fresh and hot, a little moist for my personal taste, but still good.  They also have many other flavors like matcha and pandan.  The matcha was nice but the pandan can t really taste the pandan.  The stall next to it sells some weird signage, some of which are a bit offensive based on bad stereotypes",2024,solid spong cake origin spong cake fresh hot moist person tast good flavor matcha pandan matcha nice pandan tast pandan stall sell weird signag bit offens base bad stereotyp,0,0.3818
Kam Hing Coffee Shop,5,Best sponge cake not just in NYC but in the nation!,2024,spong cake nyc nation,1,0.0
Kam Hing Coffee Shop,5,Will be back for more sponge cakes -  best we had in NY (we tried a couple)!,2024,back spong cake ny coupl,1,0.0
Kam Hing Coffee Shop,3,Sponge cake is the best,2024,spong cake,0,0.0
Kam Hing Coffee Shop,3,Pandan did not taste like anything. Lychee rose was much better,2024,pandan tast lyche rose,0,0.0
Kam Hing Coffee Shop,5,"The boss is humorous and handsome, and the cake is soft and delicious!",2024,boss humor handsom cake soft delici,1,0.2732
Kam Hing Coffee Shop,4,,2024,,1,0.0
Kam Hing Coffee Shop,5,,2024,,1,0.0
Kam Hing Coffee Shop,5,,2024,,1,0.0
Kam Hing Coffee Shop,4,"The environment is slightly worse. The paper cake is very traditional, but it is a bit small and dry in comparison.",2024,environ slightli wors paper cake tradit bit small dri comparison,1,0.0
Kam Hing Coffee Shop,5,"quick, cheap, good.",2023,quick cheap good,1,0.4404
Kam Hing Coffee Shop,5,,2023,,1,0.0
Kam Hing Coffee Shop,5,,2023,,1,0.0
Kam Hing Coffee Shop,5,"Super buns, they say outside that they are the best in town and its true.",2023,super bun town true,1,0.7717
Kam Hing Coffee Shop,5,,2023,,1,0.0
Kam Hing Coffee Shop,5,"The cupcakes are good, hot, and very cheap",2023,cupcak good hot cheap,1,0.4404
Kam Hing Coffee Shop,5,Old school coffee shop! Freshly baked sponge cakes for a reasonable price.,2023,school coffe shop freshli bake spong cake reason price,1,0.0
