place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Lafayette Grand Cafe & Bakery,5,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,3,"It has nothing more than the name, the products were not fresh and at astronomical prices",2024,product fresh astronom price,0,0.3182
Lafayette Grand Cafe & Bakery,3,The croissants were a little bit too dry for me,2024,croissant bit dri,0,0.0
Lafayette Grand Cafe & Bakery,5,"A splendid place for a wedding reception was the large room downstairs! Great ambience with an upscale wine cellar decor, complete with bar. The food was absolutely delicious and the cozy feel made for a great party!",2024,splendid place wed recept larg room downstair great ambienc upscal wine cellar decor complet bar food absolut delici cozi feel made great parti,1,0.9186
Lafayette Grand Cafe & Bakery,5,Worth the wait!,2024,worth wait,1,0.2263
Lafayette Grand Cafe & Bakery,1,"Waiting in line for the croissants comes at a price of your patience and the respect that the employees lack. The croissants are pretty good, but also $9.50 a piece, that s what happens when things go viral online. The employees are not welcoming and very impolite when it comes to being accommodating to their customers, that s a major red flag for a business as successful as they are.",2024,wait line croissant price patienc respect employe lack croissant pretti good piec thing viral onlin employe welcom impolit accommod custom major red flag busi success,-1,0.8126
Lafayette Grand Cafe & Bakery,4,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,5,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,2,"The pastries are really tasty and fresh, truly memorable. Unfortunately, this place has  piss poor customer service . The bakery staff  are really rude and will ignore you straight to your face.",2024,pastri tasti fresh memor place piss poor custom servic bakeri staff rude ignor straight face,-1,-0.6808
Lafayette Grand Cafe & Bakery,3,"Happened to walk by and notice that there was no line, and popped in to see what the fuss was about withe pastries here. There were only 4 people ahead of me, but as I was waiting, the line did get longer behind me. The cafe people seemed aggravated that the cafe patrons were blocking the doorway, which I could understand if they actually had customers coming in; but there was literally no one going to the cafe the whole time I was there; so the rudeness seemed unnecessary. Ended up getting the monthly special - the oui love oishii supreme. The strawberry and yuzu flavors sounded interesting; but the yuzu jam-like filling actually didnt work for me with this pastry. The strawberry frosting on top actually did work, and I wished there was more of this and less of the yuzu stuff. The pastry itself as nice a flaky. Id probably give the chocolate a try at some time, and quite the pastry itself was pretty decent, its definitely would not be worth waiting in a long line for.",2024,happen walk notic line pop fuss with pastri peopl ahead wait line longer cafe peopl aggrav cafe patron block doorway understand custom come liter cafe time rude unnecessari end monthli special oui love oishii suprem strawberri yuzu flavor sound interest yuzu jam fill didnt work pastri strawberri frost top work wish yuzu stuff pastri nice flaki id give chocol time pastri pretti decent worth wait long line,0,0.9042
Lafayette Grand Cafe & Bakery,5,The pastries are delicious and have so much filling wow!! Recommend to visit in weekdays because in the weekends the queue for the bakery is long,2024,pastri delici fill wow recommend visit weekday weekend queue bakeri long,1,0.743
Lafayette Grand Cafe & Bakery,5,Excellent french pastries,2024,excel french pastri,1,0.4588
Lafayette Grand Cafe & Bakery,5,"Last day to come to Korea... This is a place I really wanted to visit, and I was glad I finally went. As for coffee, I had my favorite La Colomp Latte, and I also ordered six Lafayettes signature croissants and ate two. I like pistachio more than chocolate, so I ate it with that, and it was nice because there was a lot of cream inside. I think it goes better with aa than a latte^^",2024,day korea place want visit glad final coffe favorit la colomp latt order lafayett signatur croissant ate pistachio chocol ate nice lot cream insid aa latt,1,0.7269
Lafayette Grand Cafe & Bakery,4,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,1,"Tourist trap, poor quality products. We paid $10.50 for the famous NY Roll which just had a terrible taste. Do not go.",2024,tourist trap poor qualiti product paid famou ny roll terribl tast,-1,-0.6597
Lafayette Grand Cafe & Bakery,5,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,5,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,5,"I really enjoyed my visit to Lafayettes   the ambiance is fantastic, and it was made even more memorable by the outstanding service. The warmth of the staff just made the experience that much better (I believe her name was Stella? Thank you so much!). I highly recommend you pay them a visit while in NY and definitely make sure to get their exceptional bread   I believe its some of the best.",2024,enjoy visit lafayett ambianc fantast made memor outstand servic warmth staff made experi stella highli recommend pay visit ny make except bread,1,0.8074
Lafayette Grand Cafe & Bakery,5,,2024,,1,0.0
Lafayette Grand Cafe & Bakery,1,,2024,,-1,0.0
Lafayette Grand Cafe & Bakery,5,"This is a review just for the supreme croissant as I haven t tried the restaurant. The croissant is worth the wait and is worth the hype! It is a complex pastry that you can tell takes a lot to create. If there wasn t such a long line for it, I would get it a lot more often.",2024,review suprem croissant haven restaur croissant worth wait worth hype complex pastri take lot creat wasn long line lot,1,0.4215
Lafayette Grand Cafe & Bakery,5,"We come for the pastries and they never disappoint, the Croissant Supreme in particular.  Oh, and the espresso was really good too! (La Colombe beans)",2024,pastri disappoint croissant suprem espresso good la colomb bean,1,0.0516
