place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Anthony & Son Panini Shoppe,5,Great,2024,great,1,1
Anthony & Son Panini Shoppe,5,The best Italian sandwitch ever. I like the classic amthony and son sandwitch. It is so big and I usually have a half for lunch and the other half for dinner. Super satisfying,2024,italian sandwitch classic amthoni son sandwitch big half lunch half dinner super satisfi,1,1
Anthony & Son Panini Shoppe,5,Nicest sandwich shop I ve ever been in. Anthony is a gentleman and made us feel very welcome. I recommend trying the rice balls  they are incredible,2024,nicest sandwich shop ve anthoni gentleman made feel recommend rice ball incred,1,1
Anthony & Son Panini Shoppe,3,"Ehh, after all I heard I had really high hopes. It was decent but not too great tbh",2024,ehh heard high hope decent great tbh,0,1
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,Amazing. Nothing else need be said.,2024,amaz,1,0
Anthony & Son Panini Shoppe,5,These sandwiches are BOOM,2024,sandwich boom,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,4,"Got the FDNY, $17. It was good but did not leave any impression. Id give it a 7 or 7.5 out of 10. Would like more flavor.",2024,fdni good leav impress id give flavor,1,1
Anthony & Son Panini Shoppe,1,,2024,,-1,0
Anthony & Son Panini Shoppe,3,,2024,,0,0
Anthony & Son Panini Shoppe,4,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,best BEC on bagel ive had,2024,bec bagel ive,1,0
Anthony & Son Panini Shoppe,5,The best sandwiches in Brooklyn!!,2024,sandwich brooklyn,1,0
Anthony & Son Panini Shoppe,1,"I bought the philly cheese steak hero. It wasnt terrible, but it had no flavor at all. Literally, every other deli Ive bought a philly cheese steak from tasted way better. I wanted to like it because of all the great reviews, but I cant like something that was totally flavorless. And it didnt look anything like what they show on youtube.",2024,bought philli chees steak hero wasnt terribl flavor liter deli ive bought philli chees steak tast want great review total flavorless didnt show youtub,-1,1
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,1,"Third and last time ordering from here. Huge menu so there s bound to be misses but I ve gotten three types from an italian, a chicken cutlet, and a beef based one. All nasty. No seasoning, bread smells like it was sitting next to a wet towel ..I don t know why this place gets good reviews, I gave it a fair shot and it s let me down. I m good on that.",2024,time order huge menu bound miss ve type italian chicken cutlet beef base nasti season bread smell sit wet towel don place good review gave fair shot good,-1,1
Anthony & Son Panini Shoppe,5,"One of the best in Brooklyn, been coming coming here for a while, and all the sandwiches and fresh food are always on point and well priced. If your in the neighborhood and want a really sandwich or even a home made pastas and sauce to go check them out.",2024,brooklyn come come sandwich fresh food point price neighborhood sandwich home made pasta sauc check,1,1
Anthony & Son Panini Shoppe,5,Great sandwich options very authentic,2024,great sandwich option authent,1,1
Anthony & Son Panini Shoppe,5,"You want a real sandwich, you come here!",2024,real sandwich,1,0
Anthony & Son Panini Shoppe,5,Wonderful staff and awesome front ladies. Always super sweet and the sandwiches are so good. Be prepared to split your food for lunch and dinner thanks to the big portions given! :D,2024,wonder staff awesom front ladi super sweet sandwich good prepar split food lunch dinner big portion,1,1
Anthony & Son Panini Shoppe,5,Everything On The Menu Is Good.,2024,menu good,1,1
Anthony & Son Panini Shoppe,4,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,"Won t waste your time reading this, just go and experience the life changing sandwiches for yourself. Worth the trip from the UK",2024,won wast time read experi life chang sandwich worth trip uk,1,1
Anthony & Son Panini Shoppe,4,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,4,"4 heros $80 half of an electric bill not right, great but salty. Salami mix it will be salty, of course like olives not included,  not big enough for a big man $18 a hero though, $15 price ok! especially when you have Alot do bills, etc, high rent etc",2024,hero half electr bill great salti salami mix salti oliv includ big big man hero price alot bill high rent,1,1
Anthony & Son Panini Shoppe,5,Just unreal sandwiches.,2024,unreal sandwich,1,0
Anthony & Son Panini Shoppe,2,"The food is good but the service is terrible, the workers were so rude to us. Every time I have come in here, it is never a welcoming place. Id rather get food somewhere else where people are actually genuine and kind. Horrible service",2024,food good servic terribl worker rude time welcom place id food peopl genuin kind horribl servic,-1,1
Anthony & Son Panini Shoppe,5,"Legendary Heroes & Paninis. No matter which one you order, it will put a smile on your face from ear to ear. Tend to get real busy but service is always fast.",2024,legendari hero panini matter order put smile face ear ear tend real busi servic fast,1,1
Anthony & Son Panini Shoppe,5,Some of the best most authentic Italian American sandwiches you re going to get as well as some pretty wild creations.,2024,authent italian american sandwich pretti wild creation,1,1
Anthony & Son Panini Shoppe,5,You re stupid if you go anywhere else other than Anthony s for the best feed in Brooklyn. Much love all the way from Aus xx Food,2024,stupid anthoni feed brooklyn love au xx food,1,1
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,5,"These sandwiches are amazing, so so tasty and juicy. All the ingredients are freshly made and just delicious! So many options to choose from! The workers are super friendly and knowledgeable! The place itself is well kept, clean & organized!",2024,sandwich amaz tasti juici ingredi freshli made delici option choos worker super friendli knowledg place clean organ,1,1
Anthony & Son Panini Shoppe,5,,2024,,1,0
Anthony & Son Panini Shoppe,4,,2024,,1,0
Anthony & Son Panini Shoppe,5,,2024,,1,0
