place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Red Hook Food Corp,2,Its the worst place ever,2024,worst place,-1,-0.6249
Red Hook Food Corp,3,"Got the Philly on a Jamaican patty. I expected a burst of flavor when I took the first bite, but the philly meat overpowered everything else. $18 is overpriced if you don t factor in the  experience  of having an ock do the thing for you and everyone else, everyday. HOWEVER, I do think it s deceptive to put  halal  on the menu for the Ocky way stuff when it s not zabihah.",2024,philli jamaican patti expect burst flavor bite philli meat overpow overpr don factor experi ock thing everyday decept put halal menu ocki stuff zabihah,0,0.0
Red Hook Food Corp,5,,2024,,1,0.0
Red Hook Food Corp,5,Great people outstanding food i advise everyone check this place out,2024,great peopl outstand food advis check place,1,0.6249
Red Hook Food Corp,5,Chop cheese sandwich was excellent,2024,chop chees sandwich excel,1,0.4588
Red Hook Food Corp,5,AMAZING!!!!,2024,amaz,1,0.0
Red Hook Food Corp,5,,2024,,1,0.0
Red Hook Food Corp,5,Excellent food,2024,excel food,1,0.4588
Red Hook Food Corp,5,,2024,,1,0.0
Red Hook Food Corp,5,Cant wait to go!,2024,wait,1,0.0
Red Hook Food Corp,5,Me And My Friend Heaven,2024,friend heaven,1,0.7579
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,NEVER NEVER NEVER! OCKY WAY,2023,ocki,1,0.0
Red Hook Food Corp,4,I got the chopped cheese on a Jamaican patty so good the only reason I won t give it 5 stars is because the ocky way starts $18 and above overpriced but gets you full overall it s great service if he s not there they still give you the experience as if he was there,2023,chop chees jamaican patti good reason won give star ocki start overpr full great servic give experi,1,0.8934
Red Hook Food Corp,5,"WOW!  What a great experience.  My son follows the guys at Red Hook on social media and recommended we go on our last visit to NY.  I wasnt overly interested but am so glad we did. We were instantly greeted by the staff and asked if we needed help.  I still had no clue of what the hype of this place was until we were given the official General Ocks greeting.  Thats when I learned what this place was about. To be able to walk the store, pick anything out and they incorporate it into a sandwich is not only dangerous but pretty amazing. I let me son order whatever he wanted and he chose the chopped cheese on beef patty the Ocky Way BUT he added Takis.  After a very short wait we were presented, Tik Tok style, with our sandwich.  The presentation allows for not only you to see the end result but so you can video.  Its not only the sandwich but the presentation that is great. All in all the sandwich was really good...even with the Takis which was surprising.  It can be a little hard to find but if you do itll be worth the experience.",2023,wow great experi son guy red hook social media recommend visit ny wasnt overli interest glad instantli greet staff ask need clue hype place offici gener ock greet learn place walk store pick incorpor sandwich danger pretti amaz son order want chose chop chees beef patti ocki ad taki short wait present tik tok style sandwich present end result video sandwich present great sandwich good taki surpris hard find itll worth experi,1,0.9376
Red Hook Food Corp,5,"No joke. The food is as good as the energy it is presented with. Gave me the full experience, all I asked for was a sandwich. Thank you guys If youre on the fence about whether or not its worth going, this is me telling you its worth every minute of travel, and every penny of expense.",2023,joke food good energi present gave full experi ask sandwich guy your fenc worth tell worth minut travel penni expens,1,0.7845
Red Hook Food Corp,4,Yo Ock! Can we get a too young understand the covid pandemic 4. IT was tragic what hapopened 5,2023,yo ock young understand covid pandem tragic hapopen,1,-0.4588
Red Hook Food Corp,5,"I stopped in on my way home from NYC in April 2022, well worth going out of your way for! Chopped cheese the Ocky way was excellent.",2023,stop home nyc april worth chop chees ocki excel,1,0.4019
Red Hook Food Corp,5,Neva neva neva,2023,neva neva neva,1,0.0
Red Hook Food Corp,3,"They got me once. It was an experience, for the money I probably wont get it again. Good not great.",2023,experi money wont good great,0,-0.6908
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,I wen food shopping,2023,wen food shop,1,0.0
Red Hook Food Corp,5,"Highly recommend. I came from Calgary Canada to NYC with my family and to visit this shop was one of my main goals. I came and was not disappointed. Very friendly brothers behind the counter. Gave us a sample of what they were eating, let us record the  ocky way . Did the full presentation and were great hosts. I will come again and visit them Inshallah. Thank you General Ock & Family!",2023,highli recommend calgari canada nyc famili visit shop main goal disappoint friendli brother counter gave sampl eat record ocki full present great host visit inshallah gener ock famili,1,0.5994
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,Store is very busy.  Lots of customers asking for sandwiches posted on time tok.,2023,store busi lot custom sandwich post time tok,1,0.0
Red Hook Food Corp,5,..Neva Neva Neva.. came way from Arkansas to visit this place!!. The food was,2023,neva neva neva arkansa visit place food,1,0.0
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,Pretty nice I was working on a job there,2023,pretti nice work job,1,0.4215
Red Hook Food Corp,5,Halal food. Very goooood,2023,halal food goooood,1,0.0
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,Can t forget the Bev!!!!!,2023,forget bev,1,-0.2263
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,,2023,,1,0.0
Red Hook Food Corp,5,"I love that their food is made right in front of you, and we all know its the oky way. Lol, people come from all over to get it the oky way. More people need to check it out. Its in Redhook. Stay bless for life.",2023,love food made front oki lol peopl oki peopl check redhook stay bless life,1,0.8689
