place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
SEY Coffee,4,"While the coffee was good, it wasn t special enough to warrant $13-15 for a pourover. Perhaps I m just biased against clean-tasting washed coffee, but at other places I can get something much more amazing for that price, or something as good at half the price",2024,coffe good wasn special warrant pourov bias clean tast wash coffe place amaz price good half price,1,0.8689
SEY Coffee,5,"The best coffee place! Very good prices. No additional cost for oat milk, beautiful interior, WiFi, very very delicious coffee! Thank you so much!",2024,coffe place good price addit cost oat milk beauti interior wifi delici coffe,1,0.4404
SEY Coffee,5,"Loved the warehouse/loft vibes of this cafe. Every drink order comes with a sparkling water palette cleanser that feels high end despite the relaxed nature of the environment and the staff service. We know about SEY coffee because a local roaster carries their beans. Both the iced latte and chai were delicious. Their baked goods may not the forte (just a morning bun), but the drinks more than make up for it.",2024,love warehous loft vibe cafe drink order sparkl water palett cleanser feel high end relax natur environ staff servic sey coffe local roaster carri bean ice latt chai delici bake good fort morn bun drink make,1,0.875
SEY Coffee,5,,2024,,1,0.0
SEY Coffee,5,,2024,,1,0.0
SEY Coffee,5,"I liked the atmosphere very much, it was quite crowded. Their coffee was nice too",2024,atmospher crowd coffe nice,1,0.4215
SEY Coffee,5,"Vegetarian options: There are vegan cookies! Wheelchair accessibility: This is completely wheelchair accessible, although the front door is not automatic. Food : 5/5 |",2024,vegetarian option vegan cooki wheelchair access complet wheelchair access front door automat food,1,0.0
SEY Coffee,4,Had their iced cappuccino and it was good pretty packed place. place to meet up than to work really,2024,ice cappuccino good pretti pack place place meet work,1,0.4404
SEY Coffee,4,Loved the vibes in here and my iced chai was great. My friends  oat milk lattes barely had any taste of coffee however. It looks like the espresso machine wasn t working and they were using some sort of aeropress for the espresso that day. The barista was happy to make an extra double shot for them to remedy this. Thank you!,2024,love vibe ice chai great friend oat milk latt bare tast coffe espresso machin wasn work sort aeropress espresso day barista happi make extra doubl shot remedi,1,0.91
SEY Coffee,5,10/10 great place to enjoy a delicious cup of coffee and catch up with friends. We got the Cortado and a pour over. Both drinks were so flavorful and warm. The ambiance is refreshing and clean. The ceiling plant is absolutely beautiful and natural.,2024,great place enjoy delici cup coffe catch friend cortado pour drink flavor warm ambianc refresh clean ceil plant absolut beauti natur,1,0.9337
