place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Shu Jiao Fu Zhou,5,Peanut noodles for the win,2024,peanut noodl win,1,0.5859
Shu Jiao Fu Zhou,5,"I spent about 10 dollars on an amazing meal! The pork and chive dumplings were the best dumplings I have ever tasted. The peanut noodles were super good, and the soup was really delicious and cheap! Service was very good, they gave me the food in about 1 minute. 5 stars!",2024,spent dollar amaz meal pork chive dumpl dumpl tast peanut noodl super good soup delici cheap servic good gave food minut star,1,0.8658
Shu Jiao Fu Zhou,5,A hidden restaurant. Please dont become famous. Peanut Butter Noodles!!,2024,hidden restaur dont famou peanut butter noodl,1,0.0
Shu Jiao Fu Zhou,5,"It will cost you more to take the subway here and back than it will to eat here. Incredible value. In a world where you blink and you ve been at the same company for 5 years and your friends are getting married and having kids while you are still figuring out what color rug to get for your apartment, you can come here and take a pause in life. Forget about the whiplash from time moving at supersonic speed and eat cheap dumplings with friends. Perfect Wednesday night post office activity. Sorry for the lack of food pic, food was good so Qais ate them all first",2024,cost subway back eat incred world blink ve compani year friend marri kid figur color rug apart paus life forget whiplash time move superson speed eat cheap dumpl friend perfect wednesday night post offic activ lack food pic food good qai ate,1,0.8689
Shu Jiao Fu Zhou,3,,2024,,0,0.0
Shu Jiao Fu Zhou,4,,2024,,1,0.0
Shu Jiao Fu Zhou,1,Cash only though not that expensive. Disgusting food with same flavor for every dish. Heavy taste of cooking wine in the soup. Even the rice noodle tastes like garbage and it is plain. Meat is not tasty and hard to eat. Weird taste. Don t recommend this place at all and this place ruined my lunch. Can t understand why so many people dine there. Bad food really really bad.,2024,cash expens disgust food flavor dish heavi tast cook wine soup rice noodl tast garbag plain meat tasti hard eat weird tast don recommend place place ruin lunch understand peopl dine bad food bad,-1,-0.936
Shu Jiao Fu Zhou,1,"Its very unpalatable. The cooking wine tastes very, very strong. The noodle soup can be said to be cooking wine water. I have never tasted such unpalatable noodle soup.",2024,unpalat cook wine tast strong noodl soup cook wine water tast unpalat noodl soup,-1,0.5106
Shu Jiao Fu Zhou,1,"the worst. a bunch of fj chinese girls blew it up On tiktok and instagram along with xiaoma. the Fuzhou food is pretty bad here. my god, since the diaspora is so bad from Fuzhou people. it gets overhyped. and then there are beggars",2024,worst bunch fj chines girl blew tiktok instagram xiaoma fuzhou food pretti bad god diaspora bad fuzhou peopl overhyp beggar,-1,-0.875
Shu Jiao Fu Zhou,5,"Absolutely fire food, this place is another Chinatown gem that needs to be preserved and so cheap 3$ for a plate of peanut sauce noodles, I want to dip everything in that sauce",2024,absolut fire food place chinatown gem preserv cheap plate peanut sauc noodl dip sauc,1,-0.34
