place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Skirt Steak,5,"The food was very good! Pre fixed menu with a tasty salad, steak, and unlimited fries. Good but a little bit expensive for the size of the steak. Definitely recommend the Blackberry sprits",2024,food good pre fix menu tasti salad steak unlimit fri good bit expens size steak recommend blackberri sprit,1,0.8074
Skirt Steak,2,Place is too packed and overrated when I went there steak was just alright but unlimited fries was catching eyes,2024,place pack overr steak alright unlimit fri catch eye,-1,0.25
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,5,"We went on a Saturday without a reservation and stood in line, but it wasnt a big deal because we felt like we were being taken care of! We were seated at the bar and were promised that we would be moved as soon as something became available. But that was no longer necessary: I have rarely sat so well at a high table. The bartender was very friendly and gave us good recommendations! We noticed that the boss was very present, which may have been because we were sitting at the bar. The food was great!!! Likewise for drinks, the wait was worth it! We would come back anytime! Thanks for a yummy evening! Great stuff! Thank you so much!!",2024,saturday reserv stood line wasnt big deal felt care seat bar promis move longer rare sat high tabl bartend friendli gave good recommend notic boss present sit bar food great likewis drink wait worth back anytim yummi even great stuff,1,0.9565
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,5,Try the Baked Potato. It was delicious!!!! Also upgrade to the Wasu Skirt Steak. The French Fries are also amazing! Great place. I will definitely be back again!!!!!! Parking: Street parking or pay to park in parking garage,2024,bake potato delici upgrad wasu skirt steak french fri amaz great place back park street park pay park park garag,1,0.5719
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,3,"Their meat did not meet our standards. We opted for wagyu. Meat was partly medium cooked, partly well done.  Would not recommend.",2024,meat meet standard opt wagyu meat partli medium cook partli recommend,0,0.3612
Skirt Steak,5,the steak is great truly a place you can go and have a GREAT meal at the bar in under half an hour for under $100 . love it Food,2024,steak great place great meal bar half hour love food,1,0.9246
Skirt Steak,3,"If u have a party smaller than 7, you cant make reservations, so be prepared to wait outside for hours.",2024,parti smaller make reserv prepar wait hour,0,0.0
Skirt Steak,1,"I m sorry but tiktok over hyped this restaurant.DONT let photos fool you into thinking the food is good.The salad was nasty,It taste like perfume.Next the steak how I like it was suppose to be well done and it wasn t.Little stuff to order like broccoli and spinach so not worth it !!!!!! you can make that at home ..The menu is so small and simple.expensive food to not even taste all that good.the only good thing was the garlic bread.Do not recommend!!You going to be spending 400+ on a meal,That could ve been used to go food shopping and you could make your own meal then go to a restaurant that can t even cook properly.Just saying.",2024,tiktok hype restaur dont photo fool think food good salad nasti tast perfum steak suppos wasn stuff order broccoli spinach worth make home menu small simpl expens food tast good good thing garlic bread recommend spend meal ve food shop make meal restaur cook properli,-1,0.9261
Skirt Steak,5,First time here - loved it. Great deal for the $45 price. Had three servings of fries. Got the extra spinach side but that wasn t needed as the salad was plentiful.,2024,time love great deal price serv fri extra spinach side wasn need salad plenti,1,0.8519
Skirt Steak,5,Amazing 10/10 experience. Awesome food and the service was spectacular! I cannot wait to recommend this place to everyone that loves a great steak!!,2024,amaz experi awesom food servic spectacular wait recommend place love great steak,1,0.8957
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,5,"I recently had the pleasure of dining at Skirt Steak Restaurant and I must say, it was a stunning experience that I will never forget. The ambiance of the restaurant was modern yet cozy. Now lets talk about the star of the show - the food. I ordered the skirt steak, and it was cooked to perfection. The meat was tender, juicy, and full of flavor. The side dishes were equally delicious and elevated the overall dining experience.  I highly recommend this restaurant to anyone looking for a top-notch dining experience. I cant wait to go back and try more dishes from their menu.",2024,recent pleasur dine skirt steak restaur stun experi forget ambianc restaur modern cozi let talk star show food order skirt steak cook perfect meat tender juici full flavor side dish equal delici elev dine experi highli recommend restaur top notch dine experi wait back dish menu,1,0.7269
Skirt Steak,1,$45 for 6oz skirt steak that has no seasoning and is super greasy,2024,oz skirt steak season super greasi,-1,0.5994
Skirt Steak,5,Always amazing and I swear I have gotten lucky twice with no line or waiting because I get there by 6pm. The steak is cooked to perfection-the sides option are great the fries are delicious the salad is crisp and fresh. The staff is amazing and so upbeat. Food,2024,amaz swear lucki line wait pm steak cook perfect side option great fri delici salad crisp fresh staff amaz upbeat food,1,0.872
Skirt Steak,5,"This place is perfect; the portion of the food is super filling. Absolutely the best I will be back, especially for dessert. I dont have room for dessert this time, but I will on my second visit.",2024,place perfect portion food super fill absolut back dessert dont room dessert time visit,1,0.8225
Skirt Steak,4,"The steak was good a bit burned, but still tasty and the portion was pretty small Still nice place to visit Food",2024,steak good bit burn tasti portion pretti small nice place visit food,1,0.6908
Skirt Steak,5,"Its simple, we loved it, food being overpriced in New York, this little restaurant is a gem: extremely simple concept, a salad as a starter, a grilled steak to the desired doneness and unlimited fries for $45  !! Add a few dollars for daily drinks and desserts please!!",2024,simpl love food overpr york restaur gem extrem simpl concept salad starter grill steak desir done unlimit fri add dollar daili drink dessert,1,0.6369
Skirt Steak,5,Decent food.  Wish it was a sirloin fries are fun.  Expect a line on nice days. Unless you have a party of 6 or more.,2024,decent food sirloin fri fun expect line nice day parti,1,0.7269
Skirt Steak,4,Queue can be quite long.,2024,queue long,1,0.0
Skirt Steak,4,Great skirt steak and the fries are perfect   decent price and the American wagyu skirt steak is   +$30 and the garlic bread is delicious too,2024,great skirt steak fri perfect decent price american wagyu skirt steak garlic bread delici,1,0.8316
Skirt Steak,3,"90 for 300g of meat......percarita very good, but it seems excessive to me",2024,meat percarita good excess,0,0.4404
Skirt Steak,5,"New favorite restaurant! Excellent concept, drinks and food! The service was impeccable.",2024,favorit restaur excel concept drink food servic impecc,1,0.4588
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,5,"Aside from standing outside in the freezing cold, the wait was worth it and beyond. Excellent cut of steak (order the medium as it is actually cooked medium rare). The steak is so well cooked that the delicious sauce actually takes away from it; use it for the fries instead.",2024,stand freez cold wait worth excel cut steak order medium cook medium rare steak cook delici sauc take fri,1,0.4215
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,2,Over priced and over rated place ! The amount of actual stake for  2 people was very small compared to a regular steak house  unlimited fries is not worth the $45  and the service was  ok    The cake lady was not nice at all .,2024,price rate place amount actual stake peopl small compar regular steak hous unlimit fri worth servic cake ladi nice,-1,0.5719
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,1,"Arrogant Staff, unwelcoming, food isn t worth the attitude",2024,arrog staff unwelcom food isn worth attitud,-1,0.2263
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,4,"Great location, good food and good service.  Did get crowded and loud during visit but its meant to be that type of eatery",2024,great locat good food good servic crowd loud visit meant type eateri,1,0.872
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,5,,2024,,1,0.0
Skirt Steak,4,"Last night, my daughter and I ventured off to NYC and had dinner at Skirt Steak in the Flat Iron district. My daughter has been wanting to go here for some time after seeing it on TikTok. She s a steak lover and I love French fries so this place combined the best of both worlds. Skirt Steak had gone viral for its prix fixe menu where you order your 6oz skirt steak to your liking; well, medium well, medium or rare. This is accompanied by a salad with a little olive based dressing, and unlimited fries for $45. Other than fries, they do offer other sides which are limited: Scalloped potatoes with cheese & bacon and broccoli. Their sides are $12 additional and are ever changing, so expect something different if you go. They also offer an assortment of desserts for $12 as well. The beverage menu was a little limited that started at about $6. Overall the ambiance of the restaurant was quaint and intimate. If you go, expect a line at the door and the waiting time may average about 15 to 20 minutes depending on the size of your party. I was satisfied and I enjoyed my experience. My daughter and I order our skirt steaks medium which was served with a bearnaise sauce. In addition to the salad and unlimited French fries we order the potatoes smothered with cheese & bacon. I ordered a regular margarita which was pretty strong and my daughter ordered a Diet Coke. We also ordered dessert. I ordered a chocolate cake with icing and my daughter ordered the bloody orange tart. My chocolate cake was underwhelming but my daughter s dessert tasted like fruit loops  I really liked the tart. I didn t know what to expect since my daughter picked it but we both enjoyed our dinner experience at Skirt Steak. This is the place for you if you love red meat  there are NO other protein options. It s a pretty straightforward and to the point menu without the frills. I highly recommend getting your steak prepared medium as it was cooked to perfection. I would definitely return. I give it a 9/10",2024,night daughter ventur nyc dinner skirt steak flat iron district daughter want time tiktok steak lover love french fri place combin world skirt steak viral prix fix menu order oz skirt steak like medium medium rare accompani salad oliv base dress unlimit fri fri offer side limit scallop potato chees bacon broccoli side addit chang expect offer assort dessert beverag menu limit start ambianc restaur quaint intim expect line door wait time averag minut depend size parti satisfi enjoy experi daughter order skirt steak medium serv bearnais sauc addit salad unlimit french fri order potato smother chees bacon order regular margarita pretti strong daughter order diet coke order dessert order chocol cake ice daughter order bloodi orang tart chocol cake underwhelm daughter dessert tast fruit loop tart didn expect daughter pick enjoy dinner experi skirt steak place love red meat protein option pretti straightforward point menu frill highli recommend steak prepar medium cook perfect return give,1,0.9819
