place_name,rating,review_text,published_at_date,prep,sentiment,review_sentiment
Springbone Kitchen,5,I love this place. Everyone who works there is so nice and the food is always delicious. I come in for lunch whenever I m having a bad day and it feels like a warm hug,2024,love place work nice food delici lunch bad day feel warm hug,1,0.8176
Springbone Kitchen,5,,2024,,1,0.0
Springbone Kitchen,5,The Liquid Gold bone broth (broth + coconut milk + turmeric) was delicious!,2024,liquid gold bone broth broth coconut milk turmer delici,1,0.0
Springbone Kitchen,3,The food was delicious but the dude who worked here was so nasty and scary. Like hello? Outwardly mean and scoffed when we ordered. Rude to other customers too. It s not like we came in close to closing either. It was literally 5pm. It was dude with the earrings. Appreciate the vegan options tho and it was super yum.,2024,food delici dude work nasti scari outwardli scof order rude custom close close liter pm dude ear vegan option tho super yum,0,0.2263
Springbone Kitchen,1,"Is this place for real? I just spent $20 on a lamb meatball + rice bowl. First, I was surprised that the order took about 30 minutes to make after ordering at the register. Waiting, waiting and then more waiting in a restaurant where I was the only person standing inside. Second, I was even more surprised to find 3 marble-sized meatballs inside the bowl. I would be remiss not to mention the tasteless medley of vegetables and  bone broth rice  (whatever gimmick that is) comprising the remainder of this overpriced bowl of mush. Overall  what? Not only was this a huge waste of my time, but $20 for this? A meal for ants? Springbone is a short-term restaurant concept, designed to capitalize on the social media popularity of bone broth. At this price point and quality, this isn t a sustainable restaurant in any way. The Springbone concept will be gone soon (another year or two?) and I will cheer for its demise in the meantime. Woof.",2024,place real spent lamb meatbal rice bowl surpris order minut make order regist wait wait wait restaur person stand insid surpris find marbl size meatbal insid bowl remiss mention tasteless medley veget bone broth rice gimmick compris remaind overpr bowl mush huge wast time meal ant springbon short term restaur concept design capit social media popular bone broth price point qualiti isn sustain restaur springbon concept year cheer demis meantim woof,-1,0.8126
Springbone Kitchen,5,,2024,,1,0.0
Springbone Kitchen,5,The steak bowl is amazingggg,2024,steak bowl amazingggg,1,0.0
Springbone Kitchen,5,"Springbone Kitchen offers an exceptional fresh  fast food  experience that exceeded my expectations. The variety of warm bowls I tried were not only fresh but also bursting with flavor, thanks to their amazing broths. I highly recommend Springbone Kitchen to anyone seeking a delightful and satisfying meal. Delivery was also fast and packaged well! Your taste buds will thank you! Vegetarian options: A lot of the dishes can be vegetarian since the vegetables are so flavorful! Dietary restrictions: So many options!",2023,springbon kitchen offer except fresh fast food experi exceed expect varieti warm bowl fresh burst flavor amaz broth highli recommend springbon kitchen seek delight satisfi meal deliveri fast packag tast bud vegetarian option lot dish vegetarian veget flavor dietari restrict option,1,0.8519
Springbone Kitchen,4,"Very nice, feel-good health food in a quick-service style. The salmon was very well-cooked and the staff was extremely friendly and responsive despite the rush hour. While some people might find the price points slightly higher giving the NYU-centric locale, I would justify it given the quality and variety of the ingredients presented. The only downside to the entire joint is that it is rather small and seating space is quite limited. There are also accessibility issues for left-handed people if we get a middle seat on the long table since my arms used to bump into fellow guests while having my meal.",2023,nice feel good health food quick servic style salmon cook staff extrem friendli respons rush hour peopl find price point slightli higher give nyu centric local justifi qualiti varieti ingredi present downsid entir joint small seat space limit access issu left hand peopl middl seat long tabl arm bump fellow guest meal,1,0.836
Springbone Kitchen,5,,2023,,1,0.0
