place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,457c19615f4b10705794639dc7aae021,4,Nice!,16 hours ago,2024-04-23 23:46:34.972828,,,,0,266,,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,9978626e7d0eb099120561a15d0c2cf5,5,"My family and I were on our way to another restaurant when the smell of the broth lured us in to Raku instead. I had the kitsune udon. The noodles were cooked to perfection, not too soft with the right amount of chew. I got a side of maitake tempura as well, the batter was crunchy and the mushrooms juicy and tender, like a chicken thigh but with that distinct nuttiness. And of course the broth that lured us in was as delicious as it smelled. Im not a New York resident but I wish I was so I could come back regularly!",a day ago,2024-04-23 15:46:34.976627,,,,0,3,,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,95bd20e1d340f8ff4648e13e78e2b163,5,I prefer this location over the East Village location. Didnt have a reservation on a Saturday night but put our names down & waited about an hour at a bar on Sullivan St. Fast & friendly service.,2 days ago,2024-04-22 15:46:34.980000,,,,0,240,208,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,c5a58fa333fbe791e830bab52b3dc8d1,1,"I ve been there many times. Always very disappointed with the service, while the food is great, the waitstaff is rude and speaks very aggressively to customers. Today was the last straw. It s impossible to make a reservation for one, however the bar is still open to the waitlist so even if there is a spot you can t sit and have to wait like everyone. Why is it that groups can reserve but not those who dine alone? I guess my money isn t worth it to them. Again, too bad because the food is great.",3 days ago,2024-04-21 15:46:34.981978,,,,0,1,,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,d470909c631320dd6a2ec2f7cb7ec23d,5,,4 days ago,2024-04-20 15:46:34.983584,,,,0,50,137,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,8ba47c27a47ca670ab12f3e6dffe54af,5,,6 days ago,2024-04-18 15:46:34.985358,,,,0,32,,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,40cd376ae9b523adc87d2b77811aa47c,5,,a week ago,2024-04-17 15:46:34.987597,,,,0,8,1,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,1c6743e53aa13927258a7de52ccdceb3,5,very very traditional and genuine Japanese taste udon.,a week ago,2024-04-17 15:46:34.989821,,,,0,90,3065,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,e48d522a6ac2862ebc53dc29b6f12bef,1,Worst customer service,a week ago,2024-04-17 15:46:34.992099,,,,0,18,,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,0ce8873722b7ab8c23254e99dac77125,5,Super food. Gyoza were large and perfectly cooked. Udon was absolutely delicious.,a week ago,2024-04-17 15:46:34.993963,,,,0,299,192,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,6e64f2b390f3eac9479d586af105c3a2,5,Cramped seating but good eats,a week ago,2024-04-17 15:46:35.927284,,,,0,86,71,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,05244daeca321ef53ec0a27219269168,5,The udon was chewy and delicious. The fries were also crispy and well-fried. The staff were friendly and I enjoyed the meal warmly on a cold day.,a week ago,2024-04-17 15:46:35.929514,,,,0,17,9,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,1dce633107dceadc922d45b470d51582,5,"Mackerel stick sushi is delicious! The yaki is not sweet, but the vegetables are crunchy and delicious.",a week ago,2024-04-17 15:46:35.931222,,,,0,39,11,False,!,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,d34c79c98af3f53fbf37d98635135f3d,5,"Udon noodles are their specialty and they re great. They all share the same broth, differentiated by the toppings. Service and atmosphere are nice for the price point in NY.",a week ago,2024-04-17 15:46:35.933324,,,,0,9,7,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,576a1ace81b97abf2fec3e4c3cd83488,5,I sat outside in their heated shed and it was worth getting slowly baked in order to eat their fabulous udon. I ordered the Sansai mountain veggie udon and it was the most delicious vegetarian udon I have ever had. Would definitely recommend it. My boyfriend ordered the katuson and we had the fried chicken appetizer. It was all fabulously delicious and savory. Perfect for a cold spring evening after a long week.,a week ago,2024-04-17 15:46:35.935228,,,,0,27,39,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,c9fbc88290b33e17f75364f611e034a0,5,Favorite udon place,2 weeks ago,2024-04-10 15:46:35.937116,,,,0,6,,False,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,96f581a66194cbfa135ea6a762546005,5,Udon heaven,2 weeks ago,2024-04-10 15:46:35.938972,,,,0,106,44,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,9cf1c75965ccff5f60ee1448d1cca799,5,,2 weeks ago,2024-04-10 15:46:35.941019,,,,0,21,,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,2482f0ee70c3e974c896e99980637a05,5,,2 weeks ago,2024-04-10 15:46:35.942925,,,,0,18,142,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,9b6c43239a717054ce3a595ee8ddb757,5,,2 weeks ago,2024-04-10 15:46:35.944486,,,,0,2,,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,4b0b464ddeea19cfcb19cc9621d57701,5,One of my favorite restaurants in the whole city,2 weeks ago,2024-04-10 15:46:36.978868,,,,0,37,7,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,8d4296148ffa8721069185451f158c2c,5,,2 weeks ago,2024-04-10 15:46:36.980802,,,,0,18,,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,1c5854d7ee5edf2a64f7c92502a2abdf,5,,3 weeks ago,2024-04-03 15:46:36.982975,,,,0,8,4,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,65f3dfee965cd2a1bccffff6745e6a6d,5,,3 weeks ago,2024-04-03 15:46:36.985070,,,,0,57,80,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,e551b2e13e1def057b39601fe8e11821,3,"The udon noodles are highly recommended by Xiaohongshu, but I think the taste is very ordinary and I wont visit it again. The snow crab has no crabmeat flavor or sweetness at all, and the soup has no taste as if it is thickened, so it tastes a bit weird. However, the atmosphere and service in the restaurant are really great. Those who want to come may consider ordering other meals.",3 weeks ago,2024-04-03 15:46:36.987024,,,,0,382,180,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,aed61a37ea0441ac250953e5c6062b4e,5,The noodles are really chewy.,3 weeks ago,2024-04-03 15:46:36.989070,,,,0,93,153,True,.,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,42b6a8b57818af6044d314391d9bef78,5,I dream about this place (I d actually move to NYC just for this restaurant). Make a reservation or come early because it does get crowded. The noodles are out of this world and perfect for cold weather and rainy day. But I d eat it everyday if I could!! I m from SoCal which has amazing Asian food but I ve never had udon this good. Cucumber salad was fresh and the karaage is perfectly fried and seasoned. The star of the show is Niku Udon   get it spicy! It has the perfect amount of everything. Writing this makes me want to book a flight just to eat it haha. Definitely check this place out if you re in the area!,3 weeks ago,2024-04-03 15:46:36.991515,,,,0,40,100,True,,
ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,acbe8580a5644362ede7e50a6ea7febb,5,,3 weeks ago,2024-04-03 15:46:36.993298,,,,0,,,,,
