place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,37ee437aa47edd4779a0145954ed9b0f,5,"Service, atmosphere, and food was amazing here. Stopped in on a Sunday afternoon and there was a lot of space and it wasn t too busy, which is surprising because the food was phenomenal. Our waiter was really patient with us helping us select our dishes given we wanted to learn about their traditional Palestinian dishes they specialize in. He helped us choose some of the restaurants favorite appetizers and main dishes. The pita bread was warm and freshly done, even smoky after pulling it apart. The muhammarah was my favorite appetizer and the malfouf was great too. The Mansaf was delicious - the rice had soaked the flavor of the lamb stewed in a yogurt broth. The lamb was so tender and delicious. Portions were a great size. Family style do you can share dishes amongst each other. I can t wait to come back and try more traditional dishes! Vegetarian options: Many appetizers dishes were vegetarian",19 hours ago,2024-03-03 17:18:52.828052,,,,0,12,13,True,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,50ce325040cbe3e0e2359345dec819fc,5,Amazing authentic Palestinian food and culture! Integral part of cobble hill! Loved the greenery!!!,a week ago,2024-02-26 12:18:52.857319,,,,0,3,,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,3ba18e096d34c8de9ebaaba756d8457d,5,,a week ago,2024-02-26 12:18:52.871232,,,,0,6,,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,04c3fa6b3fd6f4090701eff9d00ee7f8,5,"Came for my birthday dinner last night. This was my third visit and it was lovely as always. Ordered the mansaf (lamb stewed in broth and yogurt over rice and flatbread) and it did not disappoint. We had two vegetarians in our party and they were more than satisfied with the falafel and the big spread of mezzes we ordered; we loved the zahir (cauliflower) in particular. I didnt get the shawarma this time, but its some of the best Ive ever had anywhere. Staff were super friendly and helpful, the floral displays in the restaurant add lots of charm, and of course Im glad to support a local Palestinian business during this time. If I lived closer by, Id be here every week! A real gem in this neighborhood.",a week ago,2024-02-26 12:18:52.884184,,,,0,2,1,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,46cae99998fffc003ec5701a3df42a19,5,"Best middle eastern restaurant I have tried in nyc! Also, the prices are much better than most other similar places I have been to. They don t sell alcoholic drinks, but do allow BYOB",a week ago,2024-02-26 12:18:52.893783,,,,1,12,2,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,5419ade4ea6286566ba5da098b622bb9,5,,2 weeks ago,2024-02-19 12:18:52.903902,,,,0,19,7,True,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,69a72311261eb44504274b95f9e77d97,5,,2 weeks ago,2024-02-19 12:18:52.910720,,,,0,2,,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,a303bf1995f1d4b2015c9a3acba75567,5,,2 weeks ago,2024-02-19 12:18:52.919034,,,,0,47,,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,bcbfd5d699250c6272dbd2417c572213,5,"Loved everything here ! Atmosphere, food, drinks, dessert, all delicious and service was fantastic.. Cant wait to go back !",2 weeks ago,2024-02-19 12:18:52.933606,,,,0,4,4,False,,
ChIJL_1fstBbwokRVaeht7CPayA,al Badawi,e205570c50644a073f0e592730adbce5,5,"Came here in support of the Palestinian restaurants & food business. A very adorable, bright & true-to-tradition place. Couldnt decide what to eat so got a little help from the staff, and was encouraged to try Ouzi lamb from the main entree. Had chicken-filled slices as an appetizer, along with pita and olive oil dips - the dip with olive oil is so simple but such a rich & tasteful appetizer (reminded me of Bassams interview with Morgan) Had Arabic coffee, it was fresh and poured out of a pot, and the baklava was perfection. The serving size is generous & filling. You must bring a friend along I couldnt eat too much. The lamb is well-cooked & melts off the bone. Theres a lot I wanted to eat just couldnt but everything looked so delectable. Ill come again with company.",3 weeks ago,2024-02-12 12:18:52.944755,,,,1,30,29,True,,
