place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,c0b0148446785b115f046dead641913b,5,Great,6 days ago,2024-02-26 20:16:14.572279,,,,0,130,422,True,Estupendo,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,70e35e2ec6fbd6a4b014e4fe08180375,5,The best Italian sandwitch ever. I like the classic amthony and son sandwitch. It is so big and I usually have a half for lunch and the other half for dinner. Super satisfying,6 days ago,2024-02-26 20:16:14.586832,,,,0,29,51,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,454b529cb6a1e76ea84b77237f77a09f,5,Nicest sandwich shop I ve ever been in. Anthony is a gentleman and made us feel very welcome. I recommend trying the rice balls  they are incredible,a week ago,2024-02-25 20:16:14.596605,,,,0,2,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,0f53ba1ed2c96a2848cc06d31722974a,3,"Ehh, after all I heard I had really high hopes. It was decent but not too great tbh",a week ago,2024-02-25 20:16:14.602618,,,,0,234,75,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,0190da9247c25f5ebe38e156c88e0935,5,,a week ago,2024-02-25 20:16:14.610050,,,,0,9,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,66b67caa0f1cb6cd02d152edc9f5a37a,5,Amazing. Nothing else need be said.,2 weeks ago,2024-02-18 20:16:14.615687,,,,0,8,,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,f083c8de25647a386a3a895025b5e0a7,5,These sandwiches are BOOM,2 weeks ago,2024-02-18 20:16:14.621680,,,,0,106,44,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,96c280605372f07bb55e7a3125d0da66,5,,2 weeks ago,2024-02-18 20:16:14.630341,,,,0,21,7,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,88ef332de0dcaf2807f3da56b3aa88b0,5,,2 weeks ago,2024-02-18 20:16:14.635717,,,,0,3,1,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,a8b14452b134da07c381d6ca22c8b59c,4,"Got the FDNY, $17. It was good but did not leave any impression. Id give it a 7 or 7.5 out of 10. Would like more flavor.",2 weeks ago,2024-02-18 20:16:14.641014,,,,0,115,132,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,70788cb855e30f5fd4e548585d6e9cf3,1,,3 weeks ago,2024-02-11 20:16:15.467101,,,,0,1,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,68c868b35f6c8ea03121c06b64f1c8ae,3,,3 weeks ago,2024-02-11 20:16:15.476648,,,,0,12,4,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,615bb7839dca3d8c4edb2a1e5ed05e2a,4,,3 weeks ago,2024-02-11 20:16:15.500120,,,,0,12,19,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,e23e497f08b413aa72ccb481f980fea2,5,,4 weeks ago,2024-02-04 20:16:15.519482,,,,0,73,7,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,4056dae770766ade2325d8c6de523574,5,,a month ago,2024-02-03 20:16:15.530255,,,,0,1,1,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,44f19591e32cea483c20aaee58e04f03,5,,a month ago,2024-02-03 20:16:15.544737,,,,0,27,19,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,8ab81acec95d175db6914f044ebf15bb,5,best BEC on bagel ive had,a month ago,2024-02-03 20:16:15.556767,,,,0,15,1,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,c095ae09e14487ef14f7ec83882c09f9,5,The best sandwiches in Brooklyn!!,a month ago,2024-02-03 20:16:15.574917,,,,0,12,4,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,91ce3794181d17da4f9a938fb36f0940,1,"I bought the philly cheese steak hero. It wasnt terrible, but it had no flavor at all. Literally, every other deli Ive bought a philly cheese steak from tasted way better. I wanted to like it because of all the great reviews, but I cant like something that was totally flavorless. And it didnt look anything like what they show on youtube.",a month ago,2024-02-03 20:16:15.596374,,,,0,90,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,1abf0977f91038f98531b6250532c4a1,5,,a month ago,2024-02-03 20:16:15.607342,,,,0,21,2,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,7162ad44c20e08992da00de0198f232c,1,"Third and last time ordering from here. Huge menu so there s bound to be misses but I ve gotten three types from an italian, a chicken cutlet, and a beef based one. All nasty. No seasoning, bread smells like it was sitting next to a wet towel ..I don t know why this place gets good reviews, I gave it a fair shot and it s let me down. I m good on that.",a month ago,2024-02-03 20:16:16.401480,,,,0,6,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,f55ed513b51ad51639c799a7068b2e5b,5,"One of the best in Brooklyn, been coming coming here for a while, and all the sandwiches and fresh food are always on point and well priced. If your in the neighborhood and want a really sandwich or even a home made pastas and sauce to go check them out.",a month ago,2024-02-03 20:16:16.404429,,,,1,104,,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,18ac6c1932335877807c079da08845fc,5,Great sandwich options very authentic,a month ago,2024-02-03 20:16:16.408410,,,,0,368,192,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,d281fd3299e9964078a5622bc96efe07,5,"You want a real sandwich, you come here!",a month ago,2024-02-03 20:16:16.412274,,,,0,42,34,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,6f16150fb02f41babb84301b66e86f11,5,Wonderful staff and awesome front ladies. Always super sweet and the sandwiches are so good. Be prepared to split your food for lunch and dinner thanks to the big portions given! :D,a month ago,2024-02-03 20:16:16.416011,,,,0,11,1,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,5f16aa49903a2d838a69369fd8969ade,5,Everything On The Menu Is Good.,a month ago,2024-02-03 20:16:16.421443,,,,0,121,1,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,53ef6751653df69193d815dcf99e9be4,4,,a month ago,2024-02-03 20:16:16.425189,,,,0,10,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,8643db88eec20b581659d2f10c0f2639,5,,a month ago,2024-02-03 20:16:16.428979,,,,0,39,106,True,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,b7f4260ae56ff762f0d7473e5cf95025,5,,a month ago,2024-02-03 20:16:16.435603,,,,0,2,,False,,
ChIJp0brU1BZwokRLE5ICSVdVQI,Anthony & Son Panini Shoppe,ada739263520917d23617a05376c1fcb,5,"Won t waste your time reading this, just go and experience the life changing sandwiches for yourself. Worth the trip from the UK",a month ago,2024-02-03 20:16:16.439587,,,,0,10,,False,,
