place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,8dd39dfd6a3c845d5972c1a954f6c6f6,1,"I used to love coming here but the quality has gone down. Also, service is terrible, I waited more than 30 minutes (past the time DoorDash said my order was ready for pick up) & my order still wasn t ready!",3 days ago,2024-04-21 16:14:27.961559,,,,0,18,3,False,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,e9b9ad936489e0ff4ab264827094abbb,5,"Came here for my girlfriends 30th, and we had a wonderful experience. The staff was super friendly and very patient, which was very appreciated because we were a party of 12. The food was delicious and very flavorful with a good amount of spice. When you order, you are able to choose the spice level from Mild all the way up to Thai Spicy (which I dont even dare to try, haha). Both the Thai Iced Tea and Lychee Thai Iced Tea were very good but a little too overly sweet for us, so we had to dilute it with a little bit of water. Wonderful little restaurant with great food and a wonderful atmosphere. Im definitely visiting again to try out the other dishes.",3 days ago,2024-04-21 16:14:27.964941,,,,1,551,2997,True,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,c50c96ed7e493e7d7264946864149c6b,5,,3 days ago,2024-04-21 16:14:27.968587,,,,0,67,50,True,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,ddf74dd5553af44a17bbea615d638dd1,5,We enjoyed the 2 dishes we ordered- pad kee mao /drunken noodles (enough wok hey and level of spice) and frog legs basil (fragrant!). Also had the Thai iced tea and it was good. Portions are fine (not American large sized) and prices are a little on the high side. Will come back and try other dishes.,4 days ago,2024-04-20 16:14:27.970910,,,,0,166,357,True,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,85852d7b9417854062d555abe6b5c650,5,Great Thai spot in queens. Delicious and flavorful food. They know the meaning of spicy!,a week ago,2024-04-17 16:14:27.974151,,,,0,125,234,True,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,204819fd6bd2e21845b5886cd1e4ac2d,2,"A group of friends has been going there for years. This is probably the last. The food quality has gone down tremendously. They brought the rice first and then our dishes came one by one. It took them 30 minutes to deliver the 5 main dishes one at the time. The place was at 30% capacity. The food was bland and greasy. A trip to the bathroom that night. (Details omitted) I asked if the mango juice was homemade and I was told yes by one waiter. When I asked for one without added sugar, the other waiter stuttered and confessed it comes from cans, like all their juices. Someone told has that their energy is now on the manhattan s place. Hence the owners are not be seen around as before. There are new Thai restaurants popping up around do the area still has many options.",2 weeks ago,2024-04-10 16:14:27.977186,,,,0,2,,False,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,b930c3c0636f5f4d7cfafdf3fd323a33,1,"I m going to start saying this restaurant is divided into two in one space, but they are the same  restaurant .    One of the rooms smells like sht  I felt it, when I stepped out to put quarters in the meter, in my way back, I got confused and open the wrong side of the rest door  I like the Decoration in one side. If you go there you would know what I m talking about. With that being said. I have to say that their customer service is horrible, horrendous . Or maybe it was because the staff were hungry too, they were rushing to take our order. They when to a table and stared eating. Well they re human too I understand, but if they all gonna eat together . It make more sense closing their doors for staff lunch time. Our waitress totally forgot my drink, and half of the food we order. She when back to her table to continue her lunch. We were so in shock  we couldn t believe that s was actually happening to us. The spring roll taste good. Everything else was way too greasy and tasteless. My first time there and for sure my last. Vegetarian options: Spring rolls. Vegetables fried rice.",2 weeks ago,2024-04-10 16:14:27.979454,,,,0,21,,False,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,2dc0a3a9cee8a34e20845b8eed703838,5,"Excellent authentic food. Amazing selection, accommodating, and friendly staff.",2 weeks ago,2024-04-10 16:14:27.982074,,,,0,33,,True,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,7998f9012d7165dd35e8ea7175f89130,4,,3 weeks ago,2024-04-03 16:14:27.984921,,,,0,24,6,True,,
ChIJpROekqpfwokRxzDFY0gQKP8,Ayada,1fe872e979928d138d3f7a0a4cafb8a8,5,"One of the best Thai restaurants in NYC. Food is delicious. Service is great, staff were very friendly and accommodating. The place is spotless and the decor is great. Highly recommend their drunken noodle and pad Thai. Their prices are reasonable. Must try this restaurant if you re a Thai food fanatic. Make sure to stop by while in Elmhurst.",3 weeks ago,2024-04-03 16:14:27.987205,,,,0,90,47,True,,
