place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,52cba767fc88d8642945a50c9ec18835,5,Great spot for before a Knicks game. The Philly cheese steak egg rolls are amazing,2 days ago,2024-02-29 11:06:55.457556,,,,0,27,,False,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,e5fd58ef5ad66411107f54d435358cd6,4,"Layout/atmosphere *Long bar with three TVs and high tables; raised back area with tables & booths; intimate lighting; dance music playing over the speakers; private room with bar downstairs Service *Solid Food/drink *Truffle Burger (short rib blend patty, white cheddar truffle aioli, Bibb lettuce, beefsteak tomato & roasted shiitake mushrooms in truffle oil on brioche bun) - Good; get the immediate smell/taste of the truffles; juicy patty; bun fell apart a little towards the end *French fries (hand cut fries with ketchup) - Good; fresh *Paper Plane (Yellowstone Select bourbon, Aperol, St. Germain, lemon) - good; solid mix",a week ago,2024-02-24 11:06:55.473424,"Hey Daniel, Thank you for taking the time to leave such detailed feedback on your visit! We appreciate the breakdown and are happy to hear you had such a positive experience with us. We hope to see you again soon for more bites, cocktails, and vibes next time youre in the neighborhood!",4 days ago,2024-02-27 11:06:55.473424,0,1855,559,False,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,7e2d1aa16455aebbd4303dfb57d9aae3,5,"Had a blast, definitely most go back",a week ago,2024-02-24 11:06:55.481803,"Thanks for the review, Teresa! It was a pleasure serving you and wed love to have you back at Juniper anytime!",4 days ago,2024-02-27 11:06:55.481803,0,137,195,True,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,766197d448065e21dd224c02ac226991,5,,a week ago,2024-02-24 11:06:55.492449,"Thanks for the 5-stars, Justin! It is wonderful to see you had such an enjoyable time with us here at Juniper, and we look forward to seeing you again soon!",a week ago,2024-02-24 11:06:55.492449,0,5,,False,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,1e1f443ad03466fb9eba9d0a4e7f4b37,5,"In my experience, this is the best Happy Hour in Midtown. Absolutely inexpensive, with great serving, and a cool and elegant atmosphere. The staff was super fine and we had a great time. I will surely be back again!",a week ago,2024-02-24 11:06:55.499516,"Thanks for the great review, Lorenzo! It was a pleasure to have you join us for Happy Hour and were so happy to hear you enjoyed your evening. We look forward to seeing you again soon!",a week ago,2024-02-24 11:06:55.499516,0,110,106,True,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,72eb6ab70524bc92caf874804e2110c3,3,,a week ago,2024-02-24 11:06:55.505826,"Sorry to hear your evening didnt go as expected, Diane. If you have a moment, please reach out to us via email or our socials and let us know how we could have improved your experience. Thank you!",a week ago,2024-02-24 11:06:55.505826,0,74,87,True,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,02e5db1cb3f95667cf494921f209bc32,4,"A neighborhood gem. A mix between a chill bar and a nice restaurant. Truly the best of both worlds. Can get busy at times, when they have DJ and large crowds from offices hosting happy hours and more. The food is a delight surprise and the drinks are a no brainer. Most importantly, they always have great staff on deck to make sure you feel heard and that your experience is pleasant.",2 weeks ago,2024-02-17 11:06:55.509760,"Thank you for the kind words, Meron! Its great to hear our food and drinks hit the mark, and that our staff always makes your visit memorable. We appreciate your support and look forward to welcoming you back to Juniper next time you are in the neighborhood!",a week ago,2024-02-24 11:06:55.509760,0,25,,True,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,c7c12031f5e86fada43e6ed83c063a68,5,"Great food and strong drinks! Started with a calamari appetizer and a dirty martini with a twist my coworker had a gin and tonic. The calamari was hot and fresh, and there was no filler! The martini was strong and had perfect proportions (in my opinion), and my coworker loved his drink. We had the short rib and the the steak, both cooked so well and full of flavor. Ended with two espresso martinis, well-balanced and a great way to end the night! Our server was kind and attentive, we will definitely be returning as we work nearby.",3 weeks ago,2024-02-10 11:06:55.515201,"Thank you for the great feedback, Natalie! It s wonderful to hear you and your coworker enjoyed your cocktails and that the entrees hit the spot. We agree - there is no better way to finish up an evening at Juniper than with our classic Espresso Martinis! We appreciate the kind words and hope to have the pleasure of serving you again soon!",3 weeks ago,2024-02-10 11:06:55.515201,0,4,7,False,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,202e16993c06732a315c938c1435fe68,5,,3 weeks ago,2024-02-10 11:06:55.520646,"Thanks for the great rating, Steven! It was our pleasure to serve you here at Juniper and we hope to see you again soon!",3 weeks ago,2024-02-10 11:06:55.520646,0,35,3,False,,
ChIJ5Z-4NaxZwokRF98-wGsCVDM,Juniper Bar,4a4e7af6901f77975027a044ecb350b5,1,The bartender don t do the job they re just talking and other waiting to get service,3 weeks ago,2024-02-10 11:06:55.524515,"Were sorry to hear your recent visit didnt go great, Anthony. If you have a moment, we would love to hear how we could have improved so we could do better next time. Thank you, and have a great day!",3 weeks ago,2024-02-10 11:06:55.524515,0,2,,False,,
