place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,2d085ddd65e73177f73511d9f774ec35,5,"The food was very good! Pre fixed menu with a tasty salad, steak, and unlimited fries. Good but a little bit expensive for the size of the steak. Definitely recommend the Blackberry sprits",3 days ago,2024-02-28 11:28:52.817598,,,,0,49,20,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,314c642e479a5d80a137c953684e7718,2,Place is too packed and overrated when I went there steak was just alright but unlimited fries was catching eyes,4 days ago,2024-02-27 11:28:52.830056,,,,0,29,55,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,e4bee0e90aee708e4af8baf866e52550,5,,4 days ago,2024-02-27 11:28:52.834193,,,,0,11,,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,4aa1113aa6175b9c40c0cf656b0b8313,5,"We went on a Saturday without a reservation and stood in line, but it wasnt a big deal because we felt like we were being taken care of! We were seated at the bar and were promised that we would be moved as soon as something became available. But that was no longer necessary: I have rarely sat so well at a high table. The bartender was very friendly and gave us good recommendations! We noticed that the boss was very present, which may have been because we were sitting at the bar. The food was great!!! Likewise for drinks, the wait was worth it! We would come back anytime! Thanks for a yummy evening! Great stuff! Thank you so much!!",4 days ago,2024-02-27 11:28:52.841864,,,,0,30,41,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,d0603d55e89a9628e6ee36a89c6e144e,5,,5 days ago,2024-02-26 11:28:52.846040,,,,0,1,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,24eefd9ee1091dcb4055874e18833735,5,Try the Baked Potato. It was delicious!!!! Also upgrade to the Wasu Skirt Steak. The French Fries are also amazing! Great place. I will definitely be back again!!!!!! Parking: Street parking or pay to park in parking garage,6 days ago,2024-02-25 11:28:52.849274,,,,0,199,47,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,c9b6bba728a080cc9243c2295ba64b3e,5,,6 days ago,2024-02-25 11:28:52.852644,,,,0,40,4,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,8a3f6ed77f8057bc291ae4e50eac8fb2,3,"Their meat did not meet our standards. We opted for wagyu. Meat was partly medium cooked, partly well done.  Would not recommend.",a week ago,2024-02-24 11:28:52.857562,,,,0,4,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,5b76f3baf7ef7cde33038e43a552c357,5,the steak is great truly a place you can go and have a GREAT meal at the bar in under half an hour for under $100 . love it Food,a week ago,2024-02-24 11:28:52.861601,,,,0,5,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,40985abeee54bfaa4c1712c6f86b4ddd,3,"If u have a party smaller than 7, you cant make reservations, so be prepared to wait outside for hours.",a week ago,2024-02-24 11:28:52.865707,,,,0,13,7,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,b19944b413c4e911f1e0cb8aa16d7b17,1,"I m sorry but tiktok over hyped this restaurant.DONT let photos fool you into thinking the food is good.The salad was nasty,It taste like perfume.Next the steak how I like it was suppose to be well done and it wasn t.Little stuff to order like broccoli and spinach so not worth it !!!!!! you can make that at home ..The menu is so small and simple.expensive food to not even taste all that good.the only good thing was the garlic bread.Do not recommend!!You going to be spending 400+ on a meal,That could ve been used to go food shopping and you could make your own meal then go to a restaurant that can t even cook properly.Just saying.",a week ago,2024-02-24 11:28:53.819867,,,,3,2,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,128bff6af1d197a7d4b8ae3e5660f0b5,5,First time here - loved it. Great deal for the $45 price. Had three servings of fries. Got the extra spinach side but that wasn t needed as the salad was plentiful.,a week ago,2024-02-24 11:28:53.827092,,,,0,4,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,7c6337b9992f5a69bc0bd30adabac4eb,5,Amazing 10/10 experience. Awesome food and the service was spectacular! I cannot wait to recommend this place to everyone that loves a great steak!!,a week ago,2024-02-24 11:28:53.837610,,,,0,3,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,cb49880e7bb2886e9fa53295625fa8ae,5,,2 weeks ago,2024-02-17 11:28:53.844000,,,,0,42,509,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,b26ef4dd82d859034ddf3fc228f063c2,5,"I recently had the pleasure of dining at Skirt Steak Restaurant and I must say, it was a stunning experience that I will never forget. The ambiance of the restaurant was modern yet cozy. Now lets talk about the star of the show - the food. I ordered the skirt steak, and it was cooked to perfection. The meat was tender, juicy, and full of flavor. The side dishes were equally delicious and elevated the overall dining experience.  I highly recommend this restaurant to anyone looking for a top-notch dining experience. I cant wait to go back and try more dishes from their menu.",2 weeks ago,2024-02-17 11:28:53.853188,,,,0,9,,False,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,4dfac2298829342dfe4d8231bb85027b,1,$45 for 6oz skirt steak that has no seasoning and is super greasy,2 weeks ago,2024-02-17 11:28:53.863068,,,,4,71,409,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,6c5dcf1315e5c501003a922a4b564841,5,Always amazing and I swear I have gotten lucky twice with no line or waiting because I get there by 6pm. The steak is cooked to perfection-the sides option are great the fries are delicious the salad is crisp and fresh. The staff is amazing and so upbeat. Food,2 weeks ago,2024-02-17 11:28:53.872646,,,,0,19,10,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,9e362f416e22aa72929ddab7813ec669,5,"This place is perfect; the portion of the food is super filling. Absolutely the best I will be back, especially for dessert. I dont have room for dessert this time, but I will on my second visit.",2 weeks ago,2024-02-17 11:28:53.879756,,,,0,72,6,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,182c047779ab758096d4012c2c73e720,4,"The steak was good a bit burned, but still tasty and the portion was pretty small Still nice place to visit Food",3 weeks ago,2024-02-10 11:28:53.888324,,,,0,30,90,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,024bf08f3218e4d02a040ad662534484,5,"Its simple, we loved it, food being overpriced in New York, this little restaurant is a gem: extremely simple concept, a salad as a starter, a grilled steak to the desired doneness and unlimited fries for $45  !! Add a few dollars for daily drinks and desserts please!!",3 weeks ago,2024-02-10 11:28:53.899065,,,,0,20,2,True,"Cest simple, on a adore, la nourriture etant hors de prix a New-York, ce petit resto est une pepite : concept simplissime, une salade en entree, un steack grille a la cuisson desiree et des frites a volonte pour 45 $  !! Ajoutez quelques dollars pour les boissons et les desserts du jour sil vous plait !!",
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,040ff7c41135c7e8db250a7563a53038,5,Decent food.  Wish it was a sirloin fries are fun.  Expect a line on nice days. Unless you have a party of 6 or more.,3 weeks ago,2024-02-10 11:28:54.838211,,,,0,381,83,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,fb2eab962ddcdc6bc694507c63450343,4,Queue can be quite long.,3 weeks ago,2024-02-10 11:28:54.842659,,,,0,72,104,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,8f8f85977fcf6e7ba9ae3e4570b85aeb,4,Great skirt steak and the fries are perfect   decent price and the American wagyu skirt steak is   +$30 and the garlic bread is delicious too,3 weeks ago,2024-02-10 11:28:54.847444,,,,0,188,271,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,cb20bb3c6215e284db9640b568bb2bcd,3,"90 for 300g of meat......percarita very good, but it seems excessive to me",3 weeks ago,2024-02-10 11:28:54.851243,,,,1,49,87,True,"90  per 300gr di carne......percarita buonissima, ma mi sembra eccessivo",
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,af7739d4ea11891a8f7efae2caed7475,5,"New favorite restaurant! Excellent concept, drinks and food! The service was impeccable.",3 weeks ago,2024-02-10 11:28:54.854988,,,,1,24,13,False,"Nuevo restaurante favorito! Excelente concepto, bebidas y comida! El servicio fue impecable .",
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,db8c44f13b77b57406e67c27d0350864,5,,3 weeks ago,2024-02-10 11:28:54.859876,,,,0,14,24,True,,
ChIJZzeRDkBZwokRODxBJ-bYauA,Skirt Steak,e48c43d7046a4c562c7fdf153db96471,5,"Aside from standing outside in the freezing cold, the wait was worth it and beyond. Excellent cut of steak (order the medium as it is actually cooked medium rare). The steak is so well cooked that the delicious sauce actually takes away from it; use it for the fries instead.",3 weeks ago,2024-02-10 11:28:54.864357,,,,0,23,145,True,,
