place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,ff977b85e855822514de722593f4024e,5,I love this place. Everyone who works there is so nice and the food is always delicious. I come in for lunch whenever I m having a bad day and it feels like a warm hug,4 days ago,2024-02-29 12:41:58.013549,,,,0,3,,False,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,4f53c5b43d47c0fbb93d255e3722fe93,5,,a week ago,2024-02-26 12:41:58.021869,,,,0,8,2,False,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,6a218f231151e362160622efa4f37508,5,The Liquid Gold bone broth (broth + coconut milk + turmeric) was delicious!,a month ago,2024-02-04 12:41:58.025330,,,,0,59,47,True,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,586d59f68b4f0fcb07c8bdf4a0bb127f,3,The food was delicious but the dude who worked here was so nasty and scary. Like hello? Outwardly mean and scoffed when we ordered. Rude to other customers too. It s not like we came in close to closing either. It was literally 5pm. It was dude with the earrings. Appreciate the vegan options tho and it was super yum.,2 months ago,2024-01-04 12:41:58.029103,,,,0,4,,False,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,ca03484306c6b63daaf65793e00bc642,1,"Is this place for real? I just spent $20 on a lamb meatball + rice bowl. First, I was surprised that the order took about 30 minutes to make after ordering at the register. Waiting, waiting and then more waiting in a restaurant where I was the only person standing inside. Second, I was even more surprised to find 3 marble-sized meatballs inside the bowl. I would be remiss not to mention the tasteless medley of vegetables and  bone broth rice  (whatever gimmick that is) comprising the remainder of this overpriced bowl of mush. Overall  what? Not only was this a huge waste of my time, but $20 for this? A meal for ants? Springbone is a short-term restaurant concept, designed to capitalize on the social media popularity of bone broth. At this price point and quality, this isn t a sustainable restaurant in any way. The Springbone concept will be gone soon (another year or two?) and I will cheer for its demise in the meantime. Woof.",2 months ago,2024-01-04 12:41:58.034193,"Hey Mike, thanks for the review. Waiting 30 minutes in an empty restaurant for one bowl is unacceptable and not up to our standard. Will look into what happened there, and Im sorry you had to experience that. Also sorry to hear you didnt like The Meatball bowl. 100% grass-fed meat is expensive, and we price as competitively as possible ($17.95 before tax). Most of our bowls come in under $14, and were constantly complimented on our large portions. Sorry to disappoint you, but Springbone has been around since 2016, and interest in our simple, healthy food has only grown. See you around!",2 months ago,2024-01-04 12:41:58.034193,0,144,27,True,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,bbb08286f085be3b82c3f912ad7866fd,5,,2 months ago,2024-01-04 12:41:58.037518,,,,0,2,,False,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,9337d95029c6c5d05238dd2848da678e,5,The steak bowl is amazingggg,2 months ago,2024-01-04 12:41:58.040462,,,,0,24,3,True,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,66a4a8e5354671cc3315a51b3c562241,5,"Springbone Kitchen offers an exceptional fresh  fast food  experience that exceeded my expectations. The variety of warm bowls I tried were not only fresh but also bursting with flavor, thanks to their amazing broths. I highly recommend Springbone Kitchen to anyone seeking a delightful and satisfying meal. Delivery was also fast and packaged well! Your taste buds will thank you! Vegetarian options: A lot of the dishes can be vegetarian since the vegetables are so flavorful! Dietary restrictions: So many options!",3 months ago,2023-12-04 12:41:58.043472,,,,0,4,5,False,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,ae43e4be191c391b0da1947b224bbccd,4,"Very nice, feel-good health food in a quick-service style. The salmon was very well-cooked and the staff was extremely friendly and responsive despite the rush hour. While some people might find the price points slightly higher giving the NYU-centric locale, I would justify it given the quality and variety of the ingredients presented. The only downside to the entire joint is that it is rather small and seating space is quite limited. There are also accessibility issues for left-handed people if we get a middle seat on the long table since my arms used to bump into fellow guests while having my meal.",3 months ago,2023-12-04 12:41:58.046869,,,,0,18,1070,True,,
ChIJo57dmJFZwokRBm37jca0gak,Springbone Kitchen,f73afab2a59cbc4976a6ab27fc065747,5,,4 months ago,2023-11-04 12:41:58.050137,,,,0,12,24,True,,
