place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,426ab7e59871f65bcd098948d0098c47,5,,a day ago,2024-03-27 16:54:42.555167,,,,0,54,,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,50bad1427c95d287d25a7e34d0ed2bc7,1,"Honest reviewer here, visited not too long ago . I respect the hustle and the marketing strategy/ Publicity to promote the business. But 1. Its in a run down location 2. Extremely small space ,only one girl working there moving very slow , 3. Extremely long wait 4. Way too over price 5. Food is bland . I came all the way from Suffolk county because of the social media hype. Unfortunately my first and last visit . The long lines is not because food is tasty or extravagant ,is because theyre moving slow paced",a week ago,2024-03-21 16:54:42.562871,,,,1,17,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,3a42fcd4679256409c7cc898219b76d2,5,,a week ago,2024-03-21 16:54:42.565884,,,,0,3,3,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,06c2f5ac67b413a72306c2b29c03b8be,2,"Over hyped. Definitely a NO for me. The flavor isnt there. Im glad I tried it, but definitely not a fan.",a week ago,2024-03-21 16:54:42.569542,,,,2,51,8,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,36638dda63a962de2a42a650baf72cf1,4,I had the Ox Tail Pita. OMG....so good. My doctor will not like me eating this but it was worth the cheat lol,2 weeks ago,2024-03-14 16:54:42.573414,,,,0,43,256,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,257cb6cef03fdf505d71ae1a9df32c07,5,I only had the Jerk Chicken patty and Mac and Cheese and I m only mad I bought one. That joint was OD FIRE!!!     . They just earned a loyal customer in me! Will definitely be back tomorrow!,2 weeks ago,2024-03-14 16:54:42.577042,,,,0,14,6,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,8ecaf1bb4a3c96aae1a320430a932184,5,"Last night in NYC,  we pulled up in the pouring rain and it was so worth it. My Cuz got the Drake and I ate the Jerk chicken patty. Ordered the OxtailDatMacPatty to go.",2 weeks ago,2024-03-14 16:54:42.580843,,,,0,74,64,True,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,958ecf91200c295d52a4193c0952fd0f,2,,2 weeks ago,2024-03-14 16:54:42.585291,,,,0,1,,False,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,cbd45d7f51c85e495ed44425055a5106,5,,2 weeks ago,2024-03-14 16:54:42.588657,,,,0,,,,,
ChIJF8bnGFdhwokRY2l-tONBN90,Datz Deli,6aa336099ab2e3a96ef162d9235b27ba,5,Im rating in advance cause I know they going to good,3 weeks ago,2024-03-07 16:54:42.592248,,,,0,35,,False,,
