place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),2b06b53192e5167c53454cd9fd9923cc,3,"We ordered the scallion pancake pork burrito and the queso tacos. The burrito was VERY dry and the tacos were lacking flavor. Ultimately it wasnt apparent that you would *need* to buy the sauce which was $2/ea for a tiny container (about a quarter cups worth) and that both items would be severely lackihg without the sauce. Given the price, the size, and the dryness we were pretty underwhelmed for an item we had been led to believe would be delicious. They should give the sauces with the items by default",6 days ago,2024-03-22 20:03:51.132352,,,,0,74,3377,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),45bd8e89d69253ae02954982e50d93a0,1,,a month ago,2024-02-28 20:03:51.143598,,,,0,,,,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),9cc3aeb1b1fb5245b27249776dbe416a,1,"What a let down. I was so excited to try this burrito as I ve been following them since they actually served from their fire escape. I got there 2 hours after opening and they were already out of the pernil, so I got the chicken as a consolation. They said it would be 10 minutes but it took 30. After waiting a half hour I received a small burrito filled with dry chicken and a minuscule amount of guacamole and cheese. Completely devoid of love and way overpriced for the amount of food. The classic phenomenon in NYC when a good thing gets super popular it loses its qualities that got it popular in the first place.",a month ago,2024-02-28 20:03:51.146451,,,,0,5,6,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),6974f938ed864a8837023818ac906b13,5,,a month ago,2024-02-28 20:03:51.149361,,,,0,25,2,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),7022ed1ebdad648641a39f07b1987ba7,4,"Got the scallion burrito with pulled pork, it s pricey for the size. It is small but mighty, and was definitely filling. Similar to others, some more sauce probably needed, so definitely get a drink. OR there s water fountains near the bathroom.",a month ago,2024-02-28 20:03:51.151623,,,,0,18,22,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),950907986f1dbcb825066006ea1c73f4,5,"Really enjoyed the scallion pancake burrito! The pork was well-seasoned, the guacamole smooth, the queso frito crispy, and the lemongrass chili crisp oil added a very creative touch, bursting with flavors. The tostone was perfect for snacking - crispy on the outside, yet firm and chewy in the middle. The green sauce was refreshing, so good for cutting through the grease.",a month ago,2024-02-28 20:03:51.154837,,,,0,26,118,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),9990ddf76dea75d2ad118d0bcd8de7ad,5,Love this spot! Food is fire.,a month ago,2024-02-28 20:03:51.158271,,,,0,12,1,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),22d5999d4f79414aa33a94ff386bc5d0,2,The burrito was a small size and overly salty.,2 months ago,2024-01-28 20:03:51.162980,,,,0,311,1450,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),b6b51fd1a5f2f100efd29219a72c29c1,4,"Good original scallion burrito. Service was on the slower side. However, excited to come back to try the other burritos Food : 4/5",3 months ago,2023-12-28 20:03:51.166245,,,,0,78,314,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),620ceaa1c76e137744c31b1198d00a73,5,"I met the owner, very kind, super enthusiastic about his business. The location is nice and after 3 PM there s a really nice bar so you can enjoy both of your meal and a pretty decent cocktail. I had the scallion burrito with some pernil It was delicious. I will say this is a dish Best eaten in the location and not for delivery. The chicken and cheese empanada was amazing . it was well seasoned very filling.",3 months ago,2023-12-28 20:03:51.169420,,,,0,16,29,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),a87575da8d48c377fc64801046ab14e1,2,"Perhaps my expectations were too high from the hefty price tag ($16!) and the Instagram fame, but my OG scallion pancake burrito was very underwhelming. The filling was decent, and I enjoyed the fish sauce addition. But the scallion pancake was not flaky or crispy, but doughy and stiff. Everything was far too oily. Would give 3 stars, but the price tag knocks it down to 2.",4 months ago,2023-11-28 20:03:51.911312,,,,1,6,3,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),db858131cd2f28be8ff4c5b560f5a5c2,5,Scallion burrito is worth the hype! Loved every bite of it.,4 months ago,2023-11-28 20:03:51.914531,,,,0,2,1,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),3d6e74f0126bd419a300d73bc28f8c7d,2,"I wanted to try it for a while after they created a lot of hype around that famous scallion pancake burrito. Ohh, man, what a disappointment. 1: More like a taco than a burrito - so small 2: A very limited amount of fillings, a little bit of salty burned chopped meat, and a very greasy, unfamiliar other filling. They even charged me $2 for spicy sauce on the side. Ridiculous. 3: So slow. I cant blame the guy who worked there, as he had to handle the cooking and the preparing, and the cashier. I got my so-called burrito after 15-20 min. I guess there is a potential there, but it needs to be priced much lower for the size, and they need to step up with the ingredients. Good luck.",4 months ago,2023-11-28 20:03:51.917984,,,,3,3,,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),2d8c848a44bd8094f34f245a3d546b1c,5,"I loved every bite. Ive been waiting a while to try it and thought it was so worth the wait. The flavor of the pernil in the scallion pancake burrito was out of this world. SO flavorful. The pancake was perfect. Greasy yes, but expected! And dont sleep on the plantain egg and cheese. Id say just as delicious as the burrito. Dipped both in the bodega sauce. Ill be back!!",4 months ago,2023-11-28 20:03:51.920781,,,,0,87,,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),b3ab5561d666d3779dd1eefcf5fa3aaa,3,"Delicious burrito, very flavorful, but the diameter was a shame! No bigger than that of an Oreo",5 months ago,2023-10-28 20:03:51.923073,,,,1,1,1,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),7400482b46dc78295f8f1de8ca44bfee,5,Beyond delicious scallion pancake burritos.,5 months ago,2023-10-28 20:03:51.925832,,,,0,3,,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),d5e28d1e439559b2b67e48829b8e41ac,5,Got the chicken and the pork  burrito s. One of the best sandwiches in NYC. Which makes them one of the best in the world. If you knew me you would know that is not a statement I make often or lightly. Also probably number 1 most unique sandwich I have ever had. Kid-friendliness: Free Pool table nearby,5 months ago,2023-10-28 20:03:51.929416,,,,0,9,,False,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),a55e13003d8249c1f9c7314163a68f78,1,Premade scallion pancake.,5 months ago,2023-10-28 20:03:51.933630,,,,0,84,2288,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),ee592f24d47b951c884f07cc7602e950,5,I sadly didn t get a photo of the OG scallion pancake burrito because it might just be one of the best things I ve eaten this year and I gobbled it up before taking a pic. When you hear the ingredients of the OG it might sound a little overwhelming or a little like  do those things belong together?! Let me assure you they most definitely do. A beautiful fusion of Asian and Hispanic staples with such complimentary flavors I was truly floored. The pernil and scallion pancake do make it a tad on the greasy side but a little grease never hurt nobody   My only complaint about Forsyth is they should have a true flagship with more convenient hours so we can indulge more often! I will definitely go out of my way tho when I m in the city to partake of that burrito whenever I have the chance.,6 months ago,2023-09-28 20:03:51.937133,,,,2,93,283,True,,
ChIJaZ11rspZwokRj_uvpGpoPnc,Forsyth Fire Escape (6-Month Residency),a2e4b1bbcf96da6487de36af909d54f1,3,,7 months ago,2023-08-28 20:03:51.940378,,,,0,168,593,True,,
