place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,216b854ecb41956175c1ad8b800cbea4,5,Best Roast Pork Buns in town! Order dimsun here as well.,an hour ago,2024-03-28 17:44:46.795169,,,,0,44,25,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,c8412e93a276cdd4442562732b09a471,1,"There s a big pc meat bone in the roast pork buns I just ordered , which almost crashed my teeth. The quality of this restaurant is sadly going south nowadays ! Watch out your teeth  , it s my warning !",an hour ago,2024-03-28 17:44:46.804498,,,,0,1,1,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,3e802f645e5d66278fe5f13c986e38cf,5,"Very nice! The buns are soft and full of meat, and the meat is flavorful and tender. Service is pretty fast and everything is really fresh.",2 hours ago,2024-03-28 16:44:46.808813,,,,0,13,25,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,78befa6441ef4c1d4a92460fe873da35,4,"Great spot to grab cheap, delicious and fulfilling Chinese food. Its always so crowded so it loses points for service. I hope they can expand or have a way to deal with this crazy demand. All the items I had were great. Pineapple bun was great, all the buns were great. If you are going to get some rice/noodle roll be expected to wait around 15 mins. Everything else is instant.",2 hours ago,2024-03-28 16:44:46.813084,,,,0,137,73,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,598ac7730ccd4d38fee74b2e2bf0e010,4,Very packed and good pineapple buns. The tea was nice and price was reasonable!,2 hours ago,2024-03-28 16:44:46.816795,,,,0,449,1164,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,fca970a9a3adbb54f15c936be9f3d2df,5,Love their roast pork buns!,a day ago,2024-03-27 18:44:46.819836,,,,0,31,28,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,fe40d0b371ef5d6c2ef48c7ca3e6de1f,5,,2 days ago,2024-03-26 18:44:46.823663,,,,0,4,20,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,dab42393c077f9d498f01d040982aa26,4,"Signature pineapple roast pork buns - they came out nice and warm, and had a great crispy exterior. My only gripe was that the meat filling was too fatty for my liking. Be prepared to wait around 30+ mins as it gets very crowded",3 days ago,2024-03-25 18:44:46.826169,,,,0,58,,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,92f23362f6dea69d23340aea26ed491b,5,,3 days ago,2024-03-25 18:44:46.828980,,,,0,2,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,cf317b82186419a346767b3d2720097f,3,"The combination steamed pork bun price got double but the bun got smaller at 1/3 less, less meat, they put more cabbage unlike the way they were before. Same with coconut bun, the price doubled and size got smaller.",4 days ago,2024-03-24 18:44:46.832327,,,,0,2,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,4859d9a390d503509e93a7def67b3714,2,"Although service was very quick, I went for roast pork buns based on reviews. The contents inside the pork bun was mostly FAT not pork and I caught food poisoning! Not saying this will be everyones experience this was just mine",4 days ago,2024-03-24 18:44:47.777094,,,,0,21,,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,ae379bbbadb86c6445065fe7fe8d8a16,5,,4 days ago,2024-03-24 18:44:47.780413,,,,0,1,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,53e0c50c002ad7105676c97b009ee530,5,Super fresh tasty food!!! Great quick food stop,5 days ago,2024-03-23 18:44:47.782736,,,,0,13,2,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,8d75d87a3f47c72692284d4ad504e702,5,Make sure to build in some extra time to recover emotionally if you get the pork buns. Simply delectable,5 days ago,2024-03-23 18:44:47.785809,,,,0,12,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,cc73393bc39575c7fb8cc8b3a318a0b3,5,"Quick, tasty, and simple!",5 days ago,2024-03-23 18:44:47.789052,,,,0,60,94,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,2753cb83485cef6735a77cea5fcf707f,5,Phenomenal. The bolo chasiu bao is one of the best things I ve ever eaten,6 days ago,2024-03-22 18:44:47.792755,,,,0,7,10,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,2230b8c7b0b6b2294e52660b3c19fb02,1,"Got sick the whole night after eating at this place. I don t recommend it. Plus the meat is just fat, I ve been pretty disappointed",a week ago,2024-03-21 18:44:47.796117,,,,0,1,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,0bad43459491c676ba29f8b4bd4fd5de,5,,a week ago,2024-03-21 18:44:47.798611,,,,0,3,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,0a4c8e42ba32652a84a8b1d23ec0d756,4,,a week ago,2024-03-21 18:44:47.800787,,,,0,5,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,982cf923c68e9d91f0165b198324a0d4,5,i go here every week,a week ago,2024-03-21 18:44:47.803076,,,,0,24,2,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,22c5744106adbeed3e623c46fb57f098,5,"Excellent pork buns, but sometimes you get chunks of fat.",a week ago,2024-03-21 18:44:48.576834,,,,0,61,15,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,09aec1dea00174b13b9ff45d65562fec,4,Love the crispy and sweet pineapple bun! Not a big fan of the filling though as it was rather greasy for me.,a week ago,2024-03-21 18:44:48.580664,,,,0,49,5,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,b84013a9a3a810ff32f98d0f2ef6f40c,5,,a week ago,2024-03-21 18:44:48.584253,,,,0,43,1,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,3a8b05c875702700c02e700375331abe,5,"I had the roast pork bun and the BBQ pork rice roll, both were delicious and cheap!",a week ago,2024-03-21 18:44:48.587472,,,,0,28,43,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,4a852d91f2496a23af6d37dff3529017,5,Generous amount of meat as always! Amazing breakfast for cheap price! Real good! Always come back here!!,a week ago,2024-03-21 18:44:48.590908,,,,0,8,5,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,793721cebacd1c2237420775aefb92c9,5,Love the pineapple pork bun! I always get em when I m in town.,a week ago,2024-03-21 18:44:48.594304,,,,0,3,4,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,d8750cc35b74e29aaace773e54ec2a71,5,Fantastically good!,a week ago,2024-03-21 18:44:48.597752,,,,0,227,484,True,Fantastiskt gott!,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,ef9406002338d7009e84bcf2309db3eb,5,Literally the best buns I ve ever had!! Very affordable and the service is so quick!,a week ago,2024-03-21 18:44:48.601196,,,,0,145,149,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,bac06f4cee6c59f1f53035b371c6efdb,2,Meat in pork buns is nearly tasteless and all fat. Not sure what everybody else is talking about.,a week ago,2024-03-21 18:44:48.604707,,,,0,9,2,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,c0a7510c7f2d02242cc4e526e055be15,5,"The roasted pineapple pork bun was delicious and affordable. It is definitely on the sweeter side, so if you don t like sweet then try the steamed pork bun. Went on a rainy Tuesday afternoon and there was no wait :)",a week ago,2024-03-21 18:44:48.608018,,,,0,25,22,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,60a1a8966be58f5d85d7009d3437d4f4,5,,2 weeks ago,2024-03-14 18:44:49.367398,,,,0,22,3,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,cba2d9996233e47e391fd4aee3bff7fa,4,Good but they could do a better job of taking out some of the fat pieces,2 weeks ago,2024-03-14 18:44:49.370458,,,,0,18,19,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,d55c39850c8351dbabdedf1be022d941,4,Pork bun was good,2 weeks ago,2024-03-14 18:44:49.373980,,,,0,26,30,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,db55e9fae67d7def602bd14c19fad550,3,"Personally, as an Italian, I do not really understand the hype. I mean, it is an original concept with great prices but the taste of those buns is just completely unbalanced and felt kinda weird. It is a sweet bun with a thin sugary glaze with a sweet and sour filling with is really flavourful as itself. The problem is that the overall flavour seems to sweet, at least for me. Smiley quick and precise service raised a bit the review",2 weeks ago,2024-03-14 18:44:49.377194,,,,0,22,12,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,6127d33444b9d369ac9e4cfdd0d50087,5,"Pork buns are out of this world. Everyone loves the pineapple bun, its good. But I prefer the regular pork buns, its less sweet. The buns here are soooo chewy and soft. Even warmed up in the microwave, it still had the same great bite.",2 weeks ago,2024-03-14 18:44:49.380005,,,,0,17,15,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,846f4031ae8daf65a118d7fdc0aa7cab,5,,2 weeks ago,2024-03-14 18:44:49.383186,,,,0,16,143,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,5d5d07f446678123f1bf1da3ff442d43,5,"The food was very tasty, and affordable. The pork buns are sooooooo good. Service was fast and the employees were friendly. Overall a nice, quick place to grab a bite to eat.",2 weeks ago,2024-03-14 18:44:49.386184,,,,0,2,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,3ab120f15d92c7ebbc6d49b878e01d7b,5,,2 weeks ago,2024-03-14 18:44:49.389389,,,,0,3,,False,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,6be578d83e8b1123e60556146c20809a,4,,2 weeks ago,2024-03-14 18:44:49.392205,,,,0,,,True,,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,41560f1c694bb9cdf165687720f66e95,5,,2 weeks ago,2024-03-14 18:44:49.395116,,,,0,148,206,True,,
